"Var_name","Edges","Directed","Weighted","Name","Year","Source","Description","Citation"
"aishihik_intensity",78,0,1,"Host-parasite web","1955-1983","https://www.nceas.ucsb.edu/interactionweb/html/canadian_fish.html","Undirected, weighted, bipartite adjacency network of Canadian freshwater fish (hosts) and their metazoan parasites (parasites). The name of the lake to which this dataset corresponds is the first word of the dataset (text prior to the underscore). Network is formatted as an edgelist. Node labels (words) were provided in the raw dataset, which can be found at the source URL (below). On the webpage at the source URL (below), select the appropriate named link under the ""Data files"" heading.","Arai HP, Mudry DR. Protozoan and metazoan parasites of fishes from the headwaters of the Parsip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences. 1983; 40: 1676-1684.    Arthur JR, Margolic L, Arai HP. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada. 1976; 33: 2489-2499.    Bangham RV. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist. 1955; 53: 184-194.    Chinniah VC, Threlfall W. Metazoan parasites of fish from the Smallwood Reservoir, Labrador, Canada. Journal of Fish Biology. 1978; 13: 203-213.    Dechtiar AO. Parasites of fish from Lake of the Woods, Ontario. Journal of the Fisheries Research Board of Canada. 1972; 29: 275-283.    Leong TS, Holmes JC. Communities of metazoan parasites in open water fishes of Cold Lake, Alberta. Journal of Fish Biology. 1981; 18: 693-713."
"aishihik_prevalence",78,0,1,"Host-parasite web","1955-1983","https://www.nceas.ucsb.edu/interactionweb/html/canadian_fish.html","Undirected, weighted, bipartite adjacency network of Canadian freshwater fish (hosts) and their metazoan parasites (parasites). The name of the lake to which this dataset corresponds is the first word of the dataset (text prior to the underscore). Network is formatted as an edgelist. Node labels (words) were provided in the raw dataset, which can be found at the source URL (below). On the webpage at the source URL (below), select the appropriate named link under the ""Data files"" heading.","Arai HP, Mudry DR. Protozoan and metazoan parasites of fishes from the headwaters of the Parsip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences. 1983; 40: 1676-1684.    Arthur JR, Margolic L, Arai HP. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada. 1976; 33: 2489-2499.    Bangham RV. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist. 1955; 53: 184-194.    Chinniah VC, Threlfall W. Metazoan parasites of fish from the Smallwood Reservoir, Labrador, Canada. Journal of Fish Biology. 1978; 13: 203-213.    Dechtiar AO. Parasites of fish from Lake of the Woods, Ontario. Journal of the Fisheries Research Board of Canada. 1972; 29: 275-283.    Leong TS, Holmes JC. Communities of metazoan parasites in open water fishes of Cold Lake, Alberta. Journal of Fish Biology. 1981; 18: 693-713."
"amazon_copurchase",3387388,1,0,"Amazon co-purchasing network","2003","http://snap.stanford.edu/data/amazon0601.html","Directed, unweighted network of items for sale on amazon.com in June 2003 and the items they recommend (via the Customers Who Bought This Item Also Bought feature). If one item is frequently co-purchased with another, then the first item recommends the second.","Leskovec J, Adamic L, Adamic B. The Dynamics of Viral Marketing. ACM Transactions on the Web (ACM TWEB). 2007; 1."
"arxiv_astroph",396160,0,0,"arXiv Astrophysics Collaboration","2007","http://snap.stanford.edu/data/ca-AstroPh.html","Undirected, unweighted author collaboration network in arXiv astrophysics section.","Leskovec J, Kleinberg J, Faloutsos C. Graph evolution: Densification and shrinking diameters. ACM Transactions on Knowledge Discovery from Data. 2007; 1(1)."
"arxiv_condmat",186936,0,0,"arXiv Condensed Matter Collaboration","2007","http://snap.stanford.edu/data/ca-CondMat.html","Undirected, unweighted author collaboration network in arXiv condensed matter section.","Leskovec J, Kleinberg J, Faloutsos C. Graph evolution: Densification and shrinking diameters. ACM Transactions on Knowledge Discovery from Data. 2007; 1(1)."
"arxiv_grqc",28980,0,0,"arXiv General Relativity Quantum Cosmology Collaboration","2007","http://snap.stanford.edu/data/ca-GrQc.html","Undirected, unweighted author collaboration network in arXiv general relativity and quantum cosmology section.","Leskovec J, Kleinberg J, Faloutsos C. Graph evolution: Densification and shrinking diameters. ACM Transactions on Knowledge Discovery from Data. 2007; 1(1)."
"arxiv_hepph",237010,0,0,"arXiv High-Energy Physics Phenomenology Collaboration","2007","http://snap.stanford.edu/data/ca-HepPh.html","Undirected, unweighted author collaboration network in arXiv high-energy physics phenomenology section.","Leskovec J, Kleinberg J, Faloutsos C. Graph evolution: Densification and shrinking diameters. ACM Transactions on Knowledge Discovery from Data. 2007; 1(1)."
"arxiv_hepth",51971,0,0,"arXiv High-Energy Physics Theory Collaboration","2007","http://snap.stanford.edu/data/ca-HepTh.html","Undirected, unweighted author collaboration network in arXiv high-energy physics theory section.","Leskovec J, Kleinberg J, Faloutsos C. Graph evolution: Densification and shrinking diameters. ACM Transactions on Knowledge Discovery from Data. 2007; 1(1)."
"AS_relation",106762,1,1,"CAIDA AS graph","2007","http://snap.stanford.edu/data/as-caida.html","Directed, weighted network snapshot denoting Autonomous System (AS) relationships on the Internet, from 2004-2007, inferred using the Serial-1 method from RouteViews BGP table snapshots and a set of heuristics.","The CAIDA AS Relationships Dataset 2007. URL http://www.caida.org/data/as-relationships."
"chess",65053,1,1,"Kaggle Chess Players","2010","https://www.kaggle.com/c/chess/data","A directed, signed network (edgelist) among chess players (nodes) giving the chess match outcomes (edges), for game-by-game results among the world's top chess players. The direction of edge (i,j) denotes white player (i) and black player (j). Each edge is timestamped (approximate). Edge sign is +1 for a win by white, 0 for draw, and -1 for a win by black. The dataset is anonymous: the identity of the players in unknown and timestamps are approximate. Column 1 is ID of white player; column 2 is ID of black player; column 3 is result of the game (+1 for white win, 0 for draw, -1 for black win); column 4 is timestamp to one month precision.","Chess ratings- Elo versus the Rest of the World. Kaggle (2010)."
