Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A023PYF7	P39743	A0A023PYF7	RVS167		D9509.8	S000028763	S000002796	19841731:0398:HT
A0A250W8A7	A0A250W8A7	YSP2	YSP2	SCKG_0199	SCKG_0199			29467216:0114:LC
A0A250WL92	A0A250WL92	LAM4	LAM4	SCKG_4597	SCKG_4597			29463678:0114:LC
A2P2R3	P04821	A2P2R3	CDC25		L2142.6	S000004689	S000004301	19841731:0018:HT
A2P2R3	P38753	A2P2R3	HSE1			S000004689	S000000994	19841731:0018:HT
D6VPM8	P38723	D6VPM8	COS8			S000000074	S000001040	16093310:0090:HT
D6VPM8	Q12328	D6VPM8	TIM22		D0884	S000000074	S000002376	16093310:0090:HT
D6VTK4	D6VTK4	STE2	STE2			S000001868	S000001868	24682008:0090:LC|22923047:0055:LC|28073700:0090:LC|27993568:0055:LC|24122388:0090:LC|15352875:0055:LC
D6VTK4	P08539	STE2	GPA1			S000001868	S000001047	10664449:0018:LC|11287148:0018:LC
D6VTK4	P18851	STE2	STE4		YOR50-2	S000001868	S000005738	10664449:0018:LC|11287148:0018:LC
D6VTK4	P32435	STE2	MF(ALPHA)2			S000001868	S000003057	11495900:0401:LC|2839507:0030:LC|2839507:0405:LC
D6VTK4	P32793	STE2	YSC84			S000001868	S000001058	11283351:0018:HT|11283351:0398:HT
D6VTK4	P32844	STE2	SEC6			S000001868	S000001330	18467557:0111:HT|18467557:0090:HT
D6VTK4	P53285	STE2	VPS62			S000001868	S000003373	11283351:0018:HT|11283351:0398:HT
D6VTK4	Q08646	STE2	SSP2		O5251	S000001868	S000005768	11283351:0018:HT|11283351:0398:HT
D6VTK4	Q08929	STE2	GUP2			S000001868	S000006110	16093310:0090:HT|16093310:0112:HT
D6W196	P29704	SAL1	ERG9	N2312		S000005027	S000001233	16093310:0090:HT|16093310:0112:HT
D6W196	P53983	SAL1	ASI3	N2312	N2874	S000005027	S000004953	16093310:0090:HT|16093310:0112:HT
E9P8D2	E9P8D2	MPR1	MPR1					23818613:0114:LC
O13297	O13297	CET1	CET1	P1433	P1433	S000006149	S000006149	10428848:0029:LC|20159466:0114:LC|10589681:0114:LC|20828586:0090:LC
O13297	P04050	CET1	RPO21	P1433	D2150	S000006149	S000002299	9832501:0019:LC|9407025:0004:LC|9832501:0096:LC|9407025:0019:LC|9407025:0096:LC
O13297	Q01159	CET1	CEG1	P1433	G2853	S000006149	S000003098	9832501:0004:LC|9345280:0047:LC|12419231:0006:LC|10428848:0029:LC|20159466:0071:LC|9345280:0004:LC|20159466:0096:LC|20159466:0114:LC|9832501:0019:LC|9755857:0018:LC|12419231:0004:LC|11094081:0018:LC|18719252:0018:HT|12419231:0091:LC|11805826:0004:LC|11805826:0676:LC|12419231:0401:LC|11805826:0007:LC
O13329	O13329	FOB1	FOB1	YD9727.06	YD9727.06	S000002517	S000002517	26063576:0018:LC|26951198:0018:LC|14576157:0018:LC
O13329	P06700	FOB1	SIR2	YD9727.06	D2714	S000002517	S000002200	17043313:0007:LC|20179323:0018:LC|26951198:0018:LC
O13329	P06843	FOB1	SPT2	YD9727.06		S000002517	S000000963	10688190:0397:HT|10688190:0018:HT
O13329	P17123	FOB1	SPO12	YD9727.06		S000002517	S000001195	17634282:0018:HT|15043811:0004:LC|15043811:0018:LC
O13329	P22216	FOB1	RAD53	YD9727.06	P2588	S000002517	S000006074	10688190:0018:HT
O13329	P32605	FOB1	MUD1	YD9727.06	YBR0915	S000002517	S000000323	9207794:0018:HT
O13329	P32902	FOB1	MRP4	YD9727.06		S000002517	S000000996	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13329	P38633	FOB1	SOH1	YD9727.06	G2864	S000002517	S000003095	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13329	P38987	FOB1	TEM1	YD9727.06		S000002517	S000004529	10688190:0397:HT|10688190:0018:HT
O13329	P40089	FOB1	LSM5	YD9727.06		S000002517	S000000948	10900456:0018:HT
O13329	P47035	FOB1	NET1	YD9727.06	J1038	S000002517	S000003612	17043313:0676:LC|26951198:0096:LC|17043313:0004:LC|17043313:0007:LC|20179323:0018:LC|26951198:0018:LC
O13329	Q00916	FOB1	SNP1	YD9727.06		S000002517	S000001323	9207794:0018:HT
O13329	Q02208	FOB1	TOF2	YD9727.06	YK109	S000002517	S000001718	17043313:0004:LC|26951198:0018:LC|17043313:0007:LC|17043313:0676:LC
O13329	Q03776	FOB1	PRP42	YD9727.06	YD8419.02	S000002517	S000002643	10688190:0018:HT
O13329	Q12072	FOB1	IOC2	YD9727.06		S000002517	S000004085	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13329	Q12457	FOB1	NSI1	YD9727.06	PZE570	S000002517	S000002433	14576157:0018:LC|26951198:0018:LC|10688190:0397:HT|10688190:0018:HT
O13512	O13567	O13512	O13567		P9642.2B	S000002141	S000006330	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13517	P40971	O13517	LYS14		YD9673.04C	S000006023	S000002441	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13518	P32841	O13518	REC114		YM9375.02	S000006035	S000004740	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13518	P40971	O13518	LYS14		YD9673.04C	S000006035	S000002441	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13519	P19657	O13519	PMA2			S000006057	S000005957	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13519	P38260	O13519	FES1		YBR0830	S000006057	S000000305	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13525	P27680	COQ4	COQ3	YD8142.01	HRF316	S000002612	S000005456	15792955:0004:LC|17391640:0276:LC|15792955:0401:LC
O13525	Q05779	COQ4	COQ9	YD8142.01		S000002612	S000004191	17391640:0004:LC|17391640:0007:LC|24406904:0401:LC
O13527	P38753	TY1B-A	HSE1			S000000067	S000000994	11743162:0397:HT|11743162:0018:HT
O13527	P53550	TY1B-A	DCP2		N1917	S000000067	S000005062	10900456:0018:HT
O13530	P21825	O13530	SEC62		LPG14C	S000004188	S000006015	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13530	P39534	O13530	MBB1		J0334	S000004188	S000003735	11283351:0018:HT|11283351:0399:HT|10655498:0018:LC|11283351:0398:HT
O13531	P39940	O13531	RSP5		SYGP-ORF41	S000004192	S000000927	16606443:0089:HT
O13531	P40568	O13531	DSN1		YIB10W	S000004192	S000001449	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13531	P43582	O13531	WWM1			S000004192	S000001884	16606443:0089:HT
O13531	Q02574	O13531	MEC3		L8003.15	S000004192	S000004279	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13531	Q06525	O13531	URN1			S000004192	S000006356	16606443:0089:HT
O13532	P47128	O13532	EAF6	L8167.25	J1854	S000004207	S000003842	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13535	P36006	TY1B-H	MYO3			S000003534	S000001612	19841731:0081:HT
O13537	P03069	O13537	GCN4			S000001188	S000000735	10688190:0397:HT|10688190:0018:HT
O13537	P53541	O13537	SPO1		N2858	S000001188	S000004957	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13539	P33441	THP2	MFT1			S000001210	S000004527	18719252:0018:HT
O13539	P40014	THP2	SPC25			S000001210	S000000820	17634282:0018:HT
O13539	P47076	THP2	RPC17		J1349	S000001210	S000003548	18719252:0018:HT
O13539	P53552	THP2	THO2		N1209|N1835	S000001210	S000005083	11979277:0676:LC|22314234:0114:LC|11979277:0004:LC|11979277:0401:LC
O13539	P53959	THP2	COG6		N2675	S000001210	S000004986	18719252:0018:HT
O13539	Q06410	THP2	ATG17			S000001210	S000004415	18719252:0018:HT
O13539	Q08118	THP2	IRC10			S000001210	S000005375	11283351:0018:HT|11283351:0399:HT|11283351:0398:HT
O13539	Q12124	THP2	MED2		D2930	S000001210	S000002163	18719252:0018:HT
