Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0A6YVN8	A0A0A6YVN8	A0A0A6YVN8	A0A0A6YVN8	D-TAGATOSE|3-EPIMERASE	D-TAGATOSE|3-EPIMERASE			25655925:0114:LC
A0A0B0W5A7	Q1RPM1	A0A0B0W5A7	Q1RPM1	BHF46_16295|C7B06_23650|C7B07_24190|SAMEA3484434_04980	ECO1013			PDB_5T86:0114:LC
A0A0B1KWV6	A0A0B1KWV6	A0A0B1KWV6	A0A0B1KWV6	AC067_20715	AC067_20715			28663369:0114:LC
A0A0D7C3R7	A0A0D7C3R7	NLEB	NLEB	ACN77_18960|ARC77_23750|AU473_22425|BTQ04_08150|BWP17_10560|C9E25_14875|CRE06_10965|ERS085366_04676|ERS085404_05299|ERS085406_02601|ERS150873_02620|NCTC13125_01427|NCTC13127_04665|NCTC8621_02151|NCTC8959_00655|NCTC9701_03631|UN91_23670	ACN77_18960|ARC77_23750|AU473_22425|BTQ04_08150|BWP17_10560|C9E25_14875|CRE06_10965|ERS085366_04676|ERS085404_05299|ERS085406_02601|ERS150873_02620|NCTC13125_01427|NCTC13127_04665|NCTC8621_02151|NCTC8959_00655|NCTC9701_03631|UN91_23670			PDB_6AI4:0114:LC|30327479:0114:LC
A0A0F3W955	P08189	FIMD_3	FIMF	APZ14_00735|AW106_26365|COD30_02575|CXB56_24500|DIV22_03585|DIV25_16335|DL545_21785|ERS085374_04437|ERS150876_04614|FORC28_5312|NCTC9062_03897|NCTC9073_03777|SAMEA3472044_01385|SAMEA3472080_04921|SAMEA3484427_02458|SAMEA3484429_02408|SAMEA3753097_01378				30283140:0114:LC
A0A0F3W955	P08190	FIMD_3	FIMG	APZ14_00735|AW106_26365|COD30_02575|CXB56_24500|DIV22_03585|DIV25_16335|DL545_21785|ERS085374_04437|ERS150876_04614|FORC28_5312|NCTC9062_03897|NCTC9073_03777|SAMEA3472044_01385|SAMEA3472080_04921|SAMEA3484427_02458|SAMEA3484429_02408|SAMEA3753097_01378				30283140:0114:LC
A0A0F3W955	P08191	FIMD_3	FIMH	APZ14_00735|AW106_26365|COD30_02575|CXB56_24500|DIV22_03585|DIV25_16335|DL545_21785|ERS085374_04437|ERS150876_04614|FORC28_5312|NCTC9062_03897|NCTC9073_03777|SAMEA3472044_01385|SAMEA3472080_04921|SAMEA3484427_02458|SAMEA3484429_02408|SAMEA3753097_01378				30283140:0114:LC
A0A0F3W955	P31697	FIMD_3	FIMC	APZ14_00735|AW106_26365|COD30_02575|CXB56_24500|DIV22_03585|DIV25_16335|DL545_21785|ERS085374_04437|ERS150876_04614|FORC28_5312|NCTC9062_03897|NCTC9073_03777|SAMEA3472044_01385|SAMEA3472080_04921|SAMEA3484427_02458|SAMEA3484429_02408|SAMEA3753097_01378				30283140:0114:LC
A0A0K4I8K2	J7QA90	A0A0K4I8K2	YBL13	A6581_04560|A8G17_04180|ARC77_13660|AU473_04480|B7C53_02435|BTQ04_07045|CRE06_04820|ERS085404_01503|NCTC13125_03573|NCTC13127_00610|NCTC9701_00437	A6581_04555|A8G17_04185|AC789_1C38270|ACN002_3543|ACN81_27750|ACU90_15595|AM270_07745|ARC77_13665|AU473_04475|B1K96_23180|B1K96_30445|BHS81_20640|BIZ41_06975|BK292_07330|BMT53_16880|BN17_33961|BTQ04_07040|BWP17_00645|C5P43_28430|C6986_22200|C7B02_13210|COD46_18440|CR538_01655|CRE06_04825|CVH05_12360|CXB56_05005|D3I61_20430|DS732_25100|ERS085366_00076|ERS085374_01548|ERS085383_01733|ERS085404_01502|NCTC10418_00491|NCTC10865_00468|NCTC13125_03572|NCTC13127_00609|NCTC9055_02225|NCTC9701_00436|RX35_03224|SAMEA3472114_02231|SAMEA3753064_01902|SAMEA3753290_02356			30718814:0114:LC
A0A0N8J336	A0A0N8J336	DNDE	DNDE	A6592_17180|ACU90_25985|BTQ06_24095|NCTC8500_04897	A6592_17180|ACU90_25985|BTQ06_24095|NCTC8500_04897			PDB_5WTU:0114:LC
