Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A061ACP8	A0A061ACP8	EPS-8	EPS-8	CELE_Y57G11C.24|Y57G11C.24	CELE_Y57G11C.24|Y57G11C.24	WBGENE00001330	WBGENE00001330	23549480:0018:HT
A0A061ACP8	A0A0K3AS36	EPS-8	ITSN-1	CELE_Y57G11C.24|Y57G11C.24	CELE_Y116A8C.36|Y116A8C.36	WBGENE00001330	WBGENE00006405	23549480:0018:HT
A0A061ACP8	A0A1N7SYW5	EPS-8	A0A1N7SYW5	CELE_Y57G11C.24|Y57G11C.24	CELE_F43B10.1|F43B10.1	WBGENE00001330	WBGENE00018373	19123269:0398:HT|19123269:0397:HT
A0A061ACP8	A0PD34	EPS-8	A0PD34	CELE_Y57G11C.24|Y57G11C.24	CELE_VM106R.1|VM106R.1	WBGENE00001330	WBGENE00014848	23549480:0018:HT
A0A061ACP8	G5EC32	EPS-8	SORB-1	CELE_Y57G11C.24|Y57G11C.24	CELE_Y45F10D.13|Y45F10D.13	WBGENE00001330	WBGENE00012891	23549480:0018:HT|19447967:0398:HT|19447967:0018:HT
A0A061ACP8	G5ECG0	EPS-8	TAC-1	CELE_Y57G11C.24|Y57G11C.24	Y54E2A.3	WBGENE00001330	WBGENE00006381	23549480:0018:HT
A0A061ACP8	G5EE56	EPS-8	SRC-1	CELE_Y57G11C.24|Y57G11C.24	Y92H12A.1	WBGENE00001330	WBGENE00005077	23549480:0018:HT
A0A061ACP8	G5EFL5	EPS-8	ALP-1	CELE_Y57G11C.24|Y57G11C.24	CELE_T11B7.4|T11B7.4	WBGENE00001330	WBGENE00001132	23549480:0018:HT|14704431:0018:HT
A0A061ACP8	G5EFW3	EPS-8	SMA-1	CELE_Y57G11C.24|Y57G11C.24	CELE_R31.1|R31.1	WBGENE00001330	WBGENE00004855	23549480:0018:HT
A0A061ACP8	H2KZI6	EPS-8	ZFP-3	CELE_Y57G11C.24|Y57G11C.24	CELE_W05H7.4|W05H7.4	WBGENE00001330	WBGENE00021047	23549480:0018:HT|14704431:0018:HT|19123269:0398:HT|19123269:0397:HT
A0A061ACP8	H2L0F6	EPS-8	GEI-4	CELE_Y57G11C.24|Y57G11C.24	CELE_W07B3.2|W07B3.2	WBGENE00001330	WBGENE00001561	14704431:0018:HT
A0A061ACP8	O16638	EPS-8	NCS-6	CELE_Y57G11C.24|Y57G11C.24	CELE_W09G10.3|W09G10.3	WBGENE00001330	WBGENE00021116	23549480:0018:HT
A0A061ACP8	O45539	EPS-8	SRC-2	CELE_Y57G11C.24|Y57G11C.24	F49B2.5	WBGENE00001330	WBGENE00005078	23549480:0018:HT
A0A061ACP8	O62203	EPS-8	O62203	CELE_Y57G11C.24|Y57G11C.24	CELE_F32B4.4|F32B4.4	WBGENE00001330	WBGENE00009314	23549480:0018:HT
A0A061ACP8	P03949	EPS-8	ABL-1	CELE_Y57G11C.24|Y57G11C.24	M79.1	WBGENE00001330	WBGENE00000018	23549480:0018:HT|19447967:0398:HT|19447967:0018:HT
A0A061ACP8	P30642	EPS-8	EIF-3.D	CELE_Y57G11C.24|Y57G11C.24	R08D7.3	WBGENE00001330	WBGENE00001227	14704431:0018:HT
A0A061ACP8	P34416	EPS-8	P34416	CELE_Y57G11C.24|Y57G11C.24	F42H10.3	WBGENE00001330	WBGENE00018367	23549480:0018:HT
