Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A021WW64	A0A0B4KHK1	ANON-20EA	SLMB	CG17162|DMEL_CG17162	CG3412|DMEL_CG3412	FBGN0039944	FBGN0283468	15710747:0018:HT
A0A021WW64	A1Z714	ANON-20EA	BLOW	CG17162|DMEL_CG17162	CG1363|DMEL_CG1363	FBGN0039944	FBGN0004133	14605208:0018:HT
A0A021WW64	D5SHR2	ANON-20EA	CG6904-RA	CG17162|DMEL_CG17162		FBGN0039944		14605208:0398:HT|14605208:0018:HT
A0A021WW64	M9PH26	ANON-20EA	HLH4C	CG17162|DMEL_CG17162	CG3052|DMEL_CG3052	FBGN0039944	FBGN0011277	14605208:0398:HT|14605208:0018:HT
A0A021WW64	O61661	ANON-20EA	GRP	CG17162|DMEL_CG17162	CG17161	FBGN0039944	FBGN0261278	14605208:0398:HT|14605208:0018:HT
A0A021WW64	P48456	ANON-20EA	CANA1	CG17162|DMEL_CG17162	CG1455	FBGN0039944	FBGN0010015	14605208:0398:HT|14605208:0018:HT
A0A021WW64	P48554	ANON-20EA	RAC2	CG17162|DMEL_CG17162	CG8556	FBGN0039944	FBGN0014011	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q27889	ANON-20EA	PP2B-14D	CG17162|DMEL_CG17162	CG9842	FBGN0039944	FBGN0011826	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q7KT57	ANON-20EA	SQU	CG17162|DMEL_CG17162	CG4711|DMEL_CG4711|HDC02844	FBGN0039944	FBGN0267347	14605208:0018:HT
A0A021WW64	Q86B91	ANON-20EA	TINC	CG17162|DMEL_CG17162	CG31247	FBGN0039944	FBGN0261649	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q8SXG9	ANON-20EA	DMEL\CG13362	CG17162|DMEL_CG17162	CG13362|DMEL_CG13362	FBGN0039944	FBGN0029531	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q8SZ63	ANON-20EA	GOLGIN84	CG17162|DMEL_CG17162	CG17785	FBGN0039944	FBGN0039188	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9NCC3	ANON-20EA	SH3PX1	CG17162|DMEL_CG17162	CG6757|DMEL_CG6757	FBGN0039944	FBGN0040475	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9V4N9	ANON-20EA	Q9V4N9	CG17162|DMEL_CG17162		FBGN0039944		14605208:0398:HT
A0A021WW64	Q9VB59	ANON-20EA	DMEL\CG5984	CG17162|DMEL_CG17162	CG5984|DMEL_CG5984	FBGN0039944	FBGN0039500	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9VCD5	ANON-20EA	DMEL\CG10694	CG17162|DMEL_CG17162	CG10694|DMEL_CG10694	FBGN0039944	FBGN0039147	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9VEY0	ANON-20EA	DMEL\CG8927	CG17162|DMEL_CG17162	CG8927|DMEL_CG8927	FBGN0039944	FBGN0038405	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9VFC8	ANON-20EA	GLYS	CG17162|DMEL_CG17162	CG6904	FBGN0039944	FBGN0266064	14605208:0018:HT
A0A021WW64	Q9VFL4	ANON-20EA	DMEL\CG14840	CG17162|DMEL_CG17162	CG14840|DMEL_CG14840	FBGN0039944	FBGN0038217	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9VHP1	ANON-20EA	DMEL\CG11753	CG17162|DMEL_CG17162	CG11753|DMEL_CG11753	FBGN0039944	FBGN0037603	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9VS07	ANON-20EA	DMEL\CG17744	CG17162|DMEL_CG17162	CG17744|DMEL_CG17744	FBGN0039944	FBGN0035730	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9VWX8	ANON-20EA	FRQ2	CG17162|DMEL_CG17162	CG5907|DMEL_CG5907	FBGN0039944	FBGN0083228	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9W326	ANON-20EA	DMEL\CG42797	CG17162|DMEL_CG17162	CG42797|DMEL_CG42797	FBGN0039944	FBGN0261931	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9W513	ANON-20EA	DMEL\CG17776	CG17162|DMEL_CG17162	CG17776|DMEL_CG17776	FBGN0039944	FBGN0040899	14605208:0398:HT|14605208:0018:HT
A0A021WW64	Q9W528	ANON-20EA	DMEL\CG4194	CG17162|DMEL_CG17162	CG4194|DMEL_CG4194	FBGN0039944	FBGN0025627	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	A0A0B4LIC4	CG4896	LINCRNA.804	CG4896|DMEL_CG4896	CG15803|DMEL_CG15803	FBGN0031319	FBGN0038606	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	A1ZAC4	CG4896	KRIMP	CG4896|DMEL_CG4896	CG15707|DMEL_CG15707	FBGN0031319	FBGN0034098	14605208:0018:HT
A0A023GRW3	A4V0X4	CG4896	A4V0X4	CG4896|DMEL_CG4896		FBGN0031319		14605208:0398:HT|14605208:0018:HT
A0A023GRW3	G4LU05	CG4896	NETO	CG4896|DMEL_CG4896	CG44328|DMEL_CG44328	FBGN0031319	FBGN0265416	14605208:0018:HT
A0A023GRW3	M9PH26	CG4896	HLH4C	CG4896|DMEL_CG4896	CG3052|DMEL_CG3052	FBGN0031319	FBGN0011277	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	O16797	CG4896	RPL3	CG4896|DMEL_CG4896	CG4863	FBGN0031319	FBGN0020910	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	P02843	CG4896	YP1	CG4896|DMEL_CG4896	CG2985	FBGN0031319	FBGN0004045	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	P23792	CG4896	DISCO	CG4896|DMEL_CG4896	CG9908	FBGN0031319	FBGN0000459	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	P40796	CG4896	LA	CG4896|DMEL_CG4896	CG10922	FBGN0031319	FBGN0011638	14605208:0018:HT
A0A023GRW3	P40945	CG4896	ARF102F	CG4896|DMEL_CG4896	CG11027	FBGN0031319	FBGN0013749	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	P55841	CG4896	RPL14	CG4896|DMEL_CG4896	CG6253	FBGN0031319	FBGN0017579	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	P61209	CG4896	ARF79F	CG4896|DMEL_CG4896	CG8385	FBGN0031319	FBGN0010348	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q06559	CG4896	RPS3	CG4896|DMEL_CG4896	CG6779	FBGN0031319	FBGN0002622	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q23985	CG4896	DX	CG4896|DMEL_CG4896	CG3929	FBGN0031319	FBGN0000524	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q6AWN0	CG4896	ADI1	CG4896|DMEL_CG4896	CG32068	FBGN0031319	FBGN0052068	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q8SWU6	CG4896	DMEL\CG15022	CG4896|DMEL_CG4896	CG15022|DMEL_CG15022	FBGN0031319	FBGN0035547	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9V7L3	CG4896	Q9V7L3	CG4896|DMEL_CG4896		FBGN0031319		14605208:0398:HT
A0A023GRW3	Q9VB22	CG4896	PINS	CG4896|DMEL_CG4896	CG5692|DMEL_CG5692	FBGN0031319	FBGN0040080	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VFQ3	CG4896	E5	CG4896|DMEL_CG4896	CG9930|DMEL_CG9930	FBGN0031319	FBGN0008646	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VK58	CG4896	PIH1D1	CG4896|DMEL_CG4896	CG5792|DMEL_CG5792	FBGN0031319	FBGN0032455	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VPU8	CG4896	DBE	CG4896|DMEL_CG4896	CG4258	FBGN0031319	FBGN0020305	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VPY2	CG4896	PLAP	CG4896|DMEL_CG4896	CG5105|DMEL_CG5105	FBGN0031319	FBGN0024314	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VQB9	CG4896	DMEL\CG3557	CG4896|DMEL_CG4896	CG3557|DMEL_CG3557	FBGN0031319	FBGN0031423	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VR24	CG4896	DMEL\CG15631	CG4896|DMEL_CG4896	CG15631|DMEL_CG15631	FBGN0031319	FBGN0031626	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VUL2	CG4896	DMEL\CG13458	CG4896|DMEL_CG4896	CG13458|DMEL_CG13458	FBGN0031319	FBGN0036479	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VV24	CG4896	CT32262	CG4896|DMEL_CG4896	CG13043|DMEL_CG13043	FBGN0031319	FBGN0036600	14605208:0398:HT|14605208:0018:HT
A0A023GRW3	Q9VYC4	CG4896	Q9VYC4	CG4896|DMEL_CG4896		FBGN0031319		14605208:0398:HT|14605208:0018:HT
A0A076NAB7	Q9NJH0	RGK3	EEF1GAMMA	CG34397|DMEL_CG34397	CG11901	FBGN0085426	FBGN0029176	14605208:0018:HT
A0A076NAB7	Q9VW57	RGK3	GRASP65	CG34397|DMEL_CG34397	CG7809|DMEL_CG7809	FBGN0085426	FBGN0036919	14605208:0018:HT
A0A076NAB7	Q9VYN8	RGK3	TEN-A	CG34397|DMEL_CG34397	CG42338	FBGN0085426	FBGN0267001	14605208:0018:HT
A0A0B4JCS8	Q9V6X7	CG12901	O-FUT1	CG42733|DMEL_CG42733	CG12366	FBGN0261686	FBGN0033901	14605208:0018:HT
A0A0B4JCT2	P20153	DMEL\CG17575	USP	CG17575|DMEL_CG17575	CG4380	FBGN0250842	FBGN0003964	14605208:0398:HT|14605208:0018:HT
A0A0B4JCU3	A0A0B4K5Z8	REEPA	SEC23	CG42678|DMEL_CG42678	CG1250|DMEL_CG1250	FBGN0261564	FBGN0262125	14605208:0398:HT|14605208:0018:HT
A0A0B4JCU3	Q9V9N9	REEPA	DMEL\CG3651	CG42678|DMEL_CG42678	CG3651|DMEL_CG3651	FBGN0261564	FBGN0032974	14605208:0398:HT|14605208:0018:HT
A0A0B4JCY1	Q24239	SUBDUED	ANGEL	CG16718|DMEL_CG16718	CG12273	FBGN0038721	FBGN0016762	14605208:0398:HT|14605208:0018:HT
A0A0B4JCZ0	P23647	CG5077	FU	CG42668|DMEL_CG42668	CG6551	FBGN0261550	FBGN0001079	15710747:0399:HT|15710747:0018:HT
A0A0B4JD97	A1ZBU9	TACC	DMEL\CG13423	CG9765|DMEL_CG9765	CG13423|DMEL_CG13423	FBGN0026620	FBGN0034513	14605208:0398:HT|14605208:0018:HT
A0A0B4JD97	Q27393	TACC	AURA	CG9765|DMEL_CG9765	CG3068	FBGN0026620	FBGN0000147	27558293:0018:LC|11827981:0004:LC|11827981:0415:LC
A0A0B4JD97	Q8SXP8	TACC	TBPH	CG9765|DMEL_CG9765	CG10327|DMEL_CG10327	FBGN0026620	FBGN0025790	14605208:0398:HT|14605208:0018:HT
A0A0B4JD97	Q9VBJ6	TACC	DMEL\CG14540	CG9765|DMEL_CG9765	CG14540|DMEL_CG14540	FBGN0026620	FBGN0039398	14605208:0398:HT|14605208:0018:HT
A0A0B4JDC9	A0A0B4K6M2	RBP	RIM	CG43073|DMEL_CG43073	CG33547|DMEL_CG33547	FBGN0262483	FBGN0053547	22174254:0018:LC|26274777:0018:LC|26274777:0096:LC
A0A0B4JDC9	A0A126GV06	RBP	DMEL\CG6972	CG43073|DMEL_CG43073	CG6972|DMEL_CG6972	FBGN0262483	FBGN0039008	14605208:0018:HT
A0A0B4JDC9	P91645	RBP	CAC	CG43073|DMEL_CG43073	CG43368	FBGN0262483	FBGN0263111	22174254:0018:LC|26274777:0018:LC|26274777:0114:LC|26274777:0096:LC
A0A0B4JDC9	Q8SX59	RBP	Q8SX59	CG43073|DMEL_CG43073	CG9083	FBGN0262483	FBGN0035077	14605208:0398:HT|14605208:0018:HT
A0A0B4JDC9	Q9VDI5	RBP	DMEL\CG17271	CG43073|DMEL_CG43073	CG17271|DMEL_CG17271	FBGN0262483	FBGN0038829	14605208:0398:HT|14605208:0018:HT
A0A0B4JDC9	Q9VLS8	RBP	GALT4	CG43073|DMEL_CG43073	CG8668|DMEL_CG8668	FBGN0262483	FBGN0031988	14605208:0018:HT
A0A0B4JDC9	Q9VQW4	RBP	DMEL\CG15422	CG43073|DMEL_CG43073	CG15422|DMEL_CG15422	FBGN0262483	FBGN0031579	14605208:0398:HT|14605208:0018:HT
A0A0B4JDD0	A0A0B4LH44	PIF1A	DMEL\CG13488	CG42599|DMEL_CG42599	CG13488|DMEL_CG13488	FBGN0261015	FBGN0034670	14605208:0398:HT|14605208:0018:HT
A0A0B4JDD0	A1ZBT3	PIF1A	DMEL\CG13871	CG42599|DMEL_CG42599	CG13871|DMEL_CG13871	FBGN0261015	FBGN0034502	14605208:0018:HT
A0A0B4JDD0	E1JIH4	PIF1A	DMEL\CG8478	CG42599|DMEL_CG42599	CG8478|DMEL_CG8478	FBGN0261015	FBGN0037746	14605208:0398:HT|14605208:0018:HT
A0A0B4JDD0	O44783	PIF1A	STY	CG42599|DMEL_CG42599	CG1921	FBGN0261015	FBGN0014388	15710747:0018:HT
A0A0B4JDD0	O76908	PIF1A	VILYA	CG42599|DMEL_CG42599	CG2709	FBGN0261015	FBGN0283545	14605208:0398:HT|14605208:0018:HT
