Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0B4J1L0	A0A0B4J1L0	CEACAM15	CEACAM15			MGI:2141810	MGI:2141810	PDB_4JGJ:0114:LC
A0A0E4B366	A0A0F7R5U8	HC	LC					29379174:0114:LC
A0A0E4B366	Q7TS98	HC	Q7TS98					PDB_5TR8:0114:LC
A0A0F7R5U8	A0A0F7R5U8	LC	LC					30571096:0114:LC
A0A0F7R5U8	Q58E56	LC	IGH					30571096:0114:LC
A0A0R4J186	Q60629	SAMD5	EPHA5	MCG_52174		MGI:2444815	MGI:99654	29749928:0114:LC
A0A140LIW3	Q62108	FRMPD3	DLG4			MGI:3646547	MGI:1277959	28671696:0004:LC|28671696:0006:LC|19455133:0007:LC
A0A5E3	P01867	LOC100046793	IGH-3				MGI:96445	PDB_1HQ4:0114:LC
A0N262	A0N262	VK	VK					19018101:0114:LC
A0N262	A2NU21	VK	A2NU21					19018101:0114:LC
A0NA69	P01635	A0NA69	P01635					8950273:0114:LC
A0NA69	P01646	A0NA69	P01646					8950273:0114:LC
A0NA69	P01820	A0NA69	P01820					8950273:0114:LC
A2A259	A2A259	PKD2L1	PKD2L1			MGI:1352448	MGI:1352448	16891422:0007:LC|PDB_5Z1W:0114:LC
A2A5P2	P81183	A2A5P2	IKZF2				MGI:1342541	20211142:0018:HT
A2A5P2	Q8BKT3	A2A5P2	GCFC2				MGI:2141656	20211142:0018:HT
A2A9F6	P33242	A2A9F6	NR5A1				MGI:1346833	15721253:0045:LC|15707893:0053:LC
A2A9F6	P45448	A2A9F6	NR5A2				MGI:1346834	20211142:0018:HT|15707893:0053:LC
A2A9F6	Q9WUU6	A2A9F6	HNF4G				MGI:1353604	20211142:0018:HT
A2AGA5	O54943	A2AGA5	PER2				MGI:1195265	20840750:0018:LC|20840750:0007:LC|22170608:0006:LC
A2AGH6	Q8R3L8	MED12	CDK8			MGI:1926212	MGI:1196224	20720539:0006:LC|25344755:0006:LC
A2AHS9	Q62318	A2AHS9	TRIM28				MGI:109274	20211142:0018:HT
A2AIT5	Q99PM3	A2AIT5	GTF2A1				MGI:1933277	20211142:0018:HT
A2AIT5	Q9CXU1	A2AIT5	MED31				MGI:1914529	20211142:0018:HT
A2AQR4	A2AQR4	ZFP64	ZFP64	MCG_20647	MCG_20647	MGI:107342	MGI:107342	20211142:0018:HT
A2AQR4	Q6PGF3	ZFP64	MED16	MCG_20647		MGI:107342	MGI:2158394	20211142:0018:HT
A2AQR4	Q99PM3	ZFP64	GTF2A1	MCG_20647		MGI:107342	MGI:1933277	20211142:0018:HT
A2AR50	A2AR50	RALGPS1	RALGPS1			MGI:1922008	MGI:1922008	PDB_2DTC:0114:LC
A2ASQ1	A2ASQ1	AGRN	AGRN			MGI:87961	MGI:87961	PDB_3PVE:0114:LC
A2ASS6	Q9CR42	TTN	ANKRD1			MGI:98864	MGI:1097717	20860623:0018:LC|24515436:0018:LC
A2ATK9	P35438	FAM171A1	GRIN1			MGI:2442917	MGI:95819	10862698:0019:LC|16635246:0006:LC
A2AU37	Q920F6	RAD21L1	SMC1B			MGI:3652039	MGI:2154049	24797474:0006:LC|24797475:0006:LC
A2AVS0	P05627	A2AVS0	JUN				MGI:96646	15358865:0045:LC|11828324:0019:LC
A2AVS0	P70196	A2AVS0	TRAF6				MGI:108072	18246070:0007:LC|20185725:0007:LC|18246070:0004:LC|20185725:0004:LC
A2AVS0	Q01705	A2AVS0	NOTCH1				MGI:97363	10940313:0004:LC|10940313:0019:LC|10940313:0415:LC|21478879:0006:LC|10940313:0045:LC|21478879:0007:LC
A2AVS0	Q3UKC1	A2AVS0	TAX1BP1				MGI:1289308	18246070:0007:LC|21765415:0006:LC|21765415:0004:LC
A2AVS0	Q60855	A2AVS0	RIPK1				MGI:108212	18246070:0007:LC|21765415:0006:LC|18246070:0004:LC
A2AWQ8	P97346	A2AWQ8	NXN				MGI:109331	11591653:0397:HT
A2BH40	Q3TKT4	ARID1A	SMARCA4			MGI:1935147	MGI:88192	23698369:0006:LC|23540691:0006:LC|11988099:0019:LC|11988099:0071:LC|23540691:0029:LC
A2CG49	F6SEU4	KALRN	SYNGAP1			MGI:2685385	MGI:3039785	28671696:0004:LC|28671696:0006:LC|28706196:0004:LC|28706196:0006:LC
A2CG49	P35438	KALRN	GRIN1			MGI:2685385	MGI:95819	28706196:0006:LC|16635246:0006:LC
A2CG49	Q4ACU6	KALRN	SHANK3			MGI:2685385	MGI:1930016	28671696:0004:LC|28671696:0006:LC|28706196:0004:LC|28706196:0006:LC
A2CG49	Q62108	KALRN	DLG4			MGI:2685385	MGI:1277959	28671696:0004:LC|28706196:0004:LC|19455133:0007:LC|28706196:0006:LC|28671696:0006:LC
A2CG49	Q9D415	KALRN	DLGAP1			MGI:2685385	MGI:1346065	28671696:0004:LC|28671696:0006:LC|28706196:0004:LC|28706196:0006:LC
A2N494	A2N494	A2N494	A2N494					19018101:0114:LC
A2N494	A2NU21	A2N494	A2NU21					19018101:0114:LC
A2NN81	A2NN81	IGH-V7183	IGH-V7183			MGI:96484	MGI:96484	PDB_2OTU:0114:LC
A2NTY6	P01738	A2NTY6	P01738					18941216:0114:LC|17418792:0114:LC
A2NTY6	P01897	A2NTY6	H2-L				MGI:95912	17418792:0114:LC
A2NTY6	P06344	A2NTY6	P06344					17694060:0114:LC
A2NTY6	P14434	A2NTY6	H2-AA				MGI:95895	17694060:0114:LC
A2NTY6	Q5R1F5	A2NTY6	TRAV6D-7					17694060:0114:LC
A2NTY6	Q60597	A2NTY6	OGDH				MGI:1098267	18941216:0114:LC
A2NU21	A2NU21	A2NU21	A2NU21					19018101:0114:LC
A2NU21	Q52L64	A2NU21	IGKV8-30				MGI:3642250	18272175:0114:LC
A2NUE8	P01837	A2NUE8	IGKC				MGI:96495	16472740:0114:LC
A2RT67	A2RT67	DENND3	DENND3			MGI:2146009	MGI:2146009	29352104:0114:LC
A2RTH0	P35343	CXCL1	CXCR2	MCG_1708		MGI:108068	MGI:105303	8662882:0405:LC|7890604:0405:LC
B1AR02	Q9QWH1	B1AR02	PHC2				MGI:1860454	16024804:0004:LC|12034499:0018:LC|16024804:0006:LC|12183370:0018:LC
B1AS20	Q02248	B1AS20	CTNNB1				MGI:88276	10898789:0096:LC|10898789:0006:LC|10898789:0004:LC|12874278:0018:LC|10898789:0398:LC
