Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0G2JW60	A0A0G2JW60	UTRN	UTRN					22911693:0114:LC
A0A0G2K6H8	P97887	APH1A	PSEN1	RCG_52020				27036734:0006:LC|12297508:0006:LC
A0A0G2K8Z9	A0A0G2K8Z9	KIF13B	KIF13B					29752968:0114:LC
A2NAI0	A2NAI0	A2NAI0	A2NAI0					16338399:0114:LC
A4KWA1	A4KWA1	KLRB1B	KLRB1B					PDB_5J2S:0114:LC
B0LPN4	P35467	RYR2	S100A1					18650434:0114:LC
D3ZCE5	Q62696	GPSM2	DLG1					22117215:0114:LC
D3ZCV0	P60192	ACTN2	SNAPIN	RCG_30552				23414517:0006:HT
D3ZDG4	Q63155	DRAXIN	DCC					29503192:0114:LC
D3ZHH1	D3ZHH1	DLL4	DLL4					25700513:0114:LC
D3ZHH1	Q07008	DLL4	NOTCH1					25700513:0114:LC
D3ZK93	P19491	GSG1L	GRIA2					28472657:0114:LC
D3ZMK9	D3ZMK9	PRAG1	PRAG1					29503074:0114:LC
D3ZUI5	Q9Z0W5	COBL	PACSIN1					21725280:0029:LC|21725280:0416:LC|26334624:0006:LC|21725280:0006:LC
D4A3K5	P39949	HIST1H1A	CCNE1					14985333:0415:LC|9344597:0415:LC
D4A3K5	Q63699	HIST1H1A	CDK2					14985333:0415:LC|9344597:0415:LC
D4A3K5	Q6AY13	HIST1H1A	CCNA1					14985333:0415:LC|9344597:0415:LC
D4ABJ2	D4ABJ2	CBLN4	CBLN4	RCG_40881	RCG_40881			28877468:0114:LC
F1LW30	F1LW30	UNC5D	UNC5D					25374360:0114:LC
F1M391	F1M391	TMEM173	TMEM173					PDB_5GRM:0114:LC|PDB_5GS5:0114:LC
F1M4A0	Q6P6T5	TJP1	OCLN	RCG_24681				19470647:0006:LC|22106313:0006:LC
F1MAL5	Q63787	IRS2	PIK3R1	RCG_43183				16123266:0019:LC|19380737:0006:LC
G3V680	G3V680	ST6GAL1	ST6GAL1	RCG_36561	RCG_36561			24155237:0114:LC
G3V7P1	Q9JI51	STX12	VTI1A					17159904:0114:LC
O08623	O08623	SQSTM1	SQSTM1					20300805:0114:LC|9177193:0018:LC|15802564:0018:LC
O08623	Q62625	SQSTM1	MAP1LC3B					PDB_2K6Q:0114:LC
O08679	O08679	MARK2	MARK2					PDB_2R0I:0114:LC|16472737:0114:LC
O08724	Q63787	IRS3	PIK3R1					9642156:0019:LC|16919274:0006:LC
O08838	O08839	AMPH	BIN1					9348539:0019:LC|9694653:0019:LC|9694653:0047:LC
O08838	P11442	AMPH	CLTC					9694653:0004:LC|9694653:0019:LC|15953416:0045:LC
O08838	P21575	AMPH	DNM1					9694653:0096:LC|11877424:0405:LC|9694653:0004:LC|9694653:0019:LC
O08839	P21575	BIN1	DNM1					9341169:0405:LC|9348539:0096:LC|9341169:0019:LC|9348539:0019:LC|15953416:0045:LC
O09171	O09171	BHMT	BHMT					15099744:0114:LC|12198317:0114:LC
O35179	O35179	SH3GL2	SH3GL2					20064468:0114:LC
O35179	P21575	SH3GL2	DNM1					9238017:0047:LC|17437541:0405:LC|9238017:0096:LC|17437541:0096:LC|17437541:0006:LC
O35179	Q9JK66	SH3GL2	PRKN					20064468:0114:LC
O35274	P22909	PPP1R9B	ADRA2A					15218143:0019:LC|11154706:0019:LC
O35274	P63088	PPP1R9B	PPP1CC					18216290:0007:LC|18216290:0428:LC|12016225:0004:LC|12016225:0019:LC
O35303	P53563	DNM1L	BCL2L1					18250306:0006:LC|23792689:0006:LC|18250306:0004:LC|18250306:0007:LC
O35346	Q6P6T5	PTK2	OCLN					19470647:0006:LC|22106313:0006:LC
O35430	Q02294	APBA1	CACNA1B					10455105:0006:LC|11036064:0004:LC|11036064:0018:LC|11036064:0405:LC
O35433	O35433	TRPV1	TRPV1					18490661:0071:LC|22575650:0104:LC|26280328:0114:LC|27281200:0410:LC|24305160:0020:LC|27281200:0020:LC|24305161:0114:LC|22575650:0038:LC|22575650:0030:LC|22575650:0404:LC|18490661:0410:LC|24305161:0410:LC|24305160:0071:LC|24305160:0114:LC|27281200:0071:LC|24305160:0410:LC|27281200:0114:LC
O35543	O35543	HPGDS	HPGDS					PDB_5Y9Z:0114:LC|9323136:0114:LC
O35820	O35820	DNPH1	DNPH1					23385460:0114:LC|25108359:0114:LC|24260472:0114:LC|19720067:0114:LC|19822152:0114:LC
O35867	P63088	PPP1R9A	PPP1CC					18216290:0096:LC|18216290:0007:LC|12016225:0004:LC|12016225:0019:LC
O35923	O35923	BRCA2	BRCA2					12228710:0114:LC
O35987	P46462	NSFL1C	VCP					10811609:0006:LC|9214505:0006:LC|10811609:0004:LC|10811609:0401:LC|9214505:0071:LC|10811609:0071:LC|16601695:0071:LC|9214505:0007:LC|10811609:0019:LC|16601695:0065:LC|20691684:0096:LC|20691684:0405:LC|11740563:0019:LC|16601695:0040:LC
O54857	Q9Z340	PTEN	PARD3	RCG_47874				PDB_2K20:0114:LC
O54874	O54874	CDC42BPA	CDC42BPA					11283256:0071:LC|18854160:0424:LC
O54924	O54924	EXOC8	EXOC8					15920473:0114:LC
O55012	O55012	PICALM	PICALM					22118466:0114:LC|22118466:0071:LC
O55043	O55043	ARHGEF7	ARHGEF7					20117114:0114:LC|16228008:0114:LC|16527308:0114:LC
O55043	P35465	ARHGEF7	PAK1					12626503:0006:LC|9659915:0045:LC
O55043	Q9WV48	ARHGEF7	SHANK1					12626503:0006:LC|20117114:0114:LC|12626503:0018:LC|12626503:0004:LC|12626503:0019:LC
O55164	O55164	MPDZ	MPDZ					15863617:0114:LC|PDB_5DTH:0114:LC
O55207	Q9WVJ4	SYNJ2	SYNJ2BP					11498538:0018:LC|10357812:0004:LC|10357812:0049:LC|11498538:0004:LC|10357812:0096:LC|10357812:0047:LC|10357812:0411:LC|10357812:0416:LC|10357812:0018:LC|11498538:0047:LC
O70239	O70239	AXIN1	AXIN1					10330181:0004:LC|PDB_1WSP:0114:LC|10330181:0007:LC|10330181:0018:LC|17529994:0114:LC|10330181:0019:LC|10330181:0096:LC|10330181:0027:LC
O70257	Q9WUF4	STX7	VAMP8					19571812:0071:LC|11101518:0019:LC|11786915:0114:LC
O70257	Q9Z2Q7	STX7	STX8					19571812:0071:LC|11101518:0019:LC|11786915:0114:LC
O70351	O70351	HSD17B10	HSD17B10					11023795:0114:LC
O70377	P63045	SNAP23	VAMP2					23380067:0006:LC|18692471:0029:LC
O70377	Q08850	SNAP23	STX4					23380067:0006:LC|18692471:0029:LC
O88382	P97836	MAGI2	DLGAP1					9694864:0018:LC|9694864:0049:LC|10644767:0047:LC
O88382	P97837	MAGI2	DLGAP2					10644767:0004:LC|10644767:0019:LC|9694864:0049:LC
O88382	Q00961	MAGI2	GRIN2C					10080919:0018:LC|9694864:0018:LC
O88382	Q62765	MAGI2	NLGN1					9694864:0018:LC|15458844:0018:LC
O88382	Q8R4T5	MAGI2	GRASP					17396155:0007:LC|12586822:0004:LC|12586822:0006:LC|12586822:0019:LC|12586822:0096:LC
O88382	Q9WU82	MAGI2	CTNNB1					11826105:0019:LC|10080919:0018:LC|11826105:0018:LC|11826105:0096:LC|11826105:0428:LC
O88498	Q9Z1P3	BCL2L11	MCL1					9731710:0018:LC|10579309:0018:LC
O88618	O88618	FTCD	FTCD					PDB_2PFD:0114:LC
O88764	P04692	DAPK3	TPM1					10602480:0018:LC|10580117:0018:LC
O88764	Q62627	DAPK3	PAWR					10602480:0424:LC|10602480:0415:LC|10602480:0018:LC|10580117:0018:LC|10602480:0096:LC|10602480:0416:LC
O88764	Q62739	DAPK3	RAB3IP					10602480:0018:LC|10580117:0018:LC
O88764	Q9ES19	DAPK3	ATF4					10602480:0018:LC|10580117:0018:LC
O88764	Q9QYW0	DAPK3	AATF					10602480:0018:LC|10580117:0018:LC|10580117:0096:LC
O88846	O88846	RNF4	RNF4					22842904:0415:LC|21857666:0071:LC|21857666:0114:LC|21857666:0028:LC|21857666:0055:LC|24882209:0415:LC|20681948:0114:LC
O88869	P14925	RASSF9	PAM					9837933:0663:LC|8910496:0018:LC|9837933:0006:LC
O88871	Q9Z0U4	GABBR2	GABBR1					21552208:0007:LC|19590495:0055:LC|21063387:0055:LC|21552208:0055:LC|19590495:0007:LC|19590495:0012:LC
O88900	P15127	GRB14	INSR					9748281:0018:LC|9748281:0004:LC|25687571:0006:LC|25687571:0004:LC
O88917	Q9JLU4	ADGRL1	SHANK3					29473168:0114:LC
O89049	O89049	TXNRD1	TXNRD1					10957643:0114:LC|19054767:0114:LC|11481439:0114:LC|PDB_4KPR:0114:LC
P00388	P00388	POR	POR					24550278:0114:LC|27189945:0114:LC|11371558:0114:LC|9237990:0114:LC|29308883:0114:LC|PDB_6NJR:0114:LC
