Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A6X980	O14229	SFC7	SFC1	SPAC1250.07	SPAC6F12.11C	SPAC1250.07	SPAC6F12.11C	23921640:0114:LC|26257282:0018:LC
A6X980	Q09728	SFC7	CUF1	SPAC1250.07	SPAC31A2.11C	SPAC1250.07	SPAC31A2.11C	26771498:0018:HT
A6X995	O42882	A6X995	O42882	SPCC417.15	SPAC8E11.05C	SPCC417.15	SPAC8E11.05C	26771498:0018:HT
C6Y4B0	O42882	C6Y4B0	O42882	SPAC27E2.14	SPAC8E11.05C	SPAC27E2.14	SPAC8E11.05C	26771498:0018:HT
C6Y4B7	O13712	C6Y4B7	MUG61	SPAC227.19C	SPAC14C4.05C	SPAC227.19C	SPAC14C4.05C	26771498:0018:HT
C6Y4C1	O13712	PET117	MUG61	SPBC1604.25	SPAC14C4.05C	SPBC1604.25	SPAC14C4.05C	26771498:0018:HT
C6Y4C2	O60130	SPO2	O60130	SPBC16C6.14	SPBC16G5.16	SPBC16C6.14	SPBC16G5.16	26771498:0018:HT
C6Y4C2	P78962	SPO2	ATF21	SPBC16C6.14	SPBC2F12.09C	SPBC16C6.14	SPBC2F12.09C	26771498:0018:HT
C6Y4D0	P87174	C6Y4D0	DPB4	SPCC16C4.22	SPBC3D6.09	SPCC16C4.22	SPBC3D6.09	29109278:0114:LC
C6Y4D2	O14423	MRP49	CBH1	SPCC1442.19	SPAC9E9.10C	SPCC1442.19	SPAC9E9.10C	26771498:0018:HT
C6Y4D3	O74447	ECL1	O74447	SPCC70.12C	SPCC16C4.02C	SPCC70.12C	SPCC16C4.02C	26771498:0018:HT
G2TRS9	Q09811	G2TRS9	RQH1	SPBC337.02C	SPAC2G11.12	SPBC337.02C	SPAC2G11.12	26771498:0018:HT
O00103	O94609	UBC11	PTR3	SPCC1259.15C	SPBC1604.21C|SPBC211.09	SPCC1259.15C	SPBC1604.21C	23416107:0415:LC|28162934:0415:LC
O13286	O13286	SRW1	SRW1	SPAC144.13C	SPAC144.13C	SPAC144.13C	SPAC144.13C	26771498:0018:HT
O13286	P10815	SRW1	CDC13	SPAC144.13C	SPBC582.03	SPAC144.13C	SPBC582.03	26771498:0018:HT|21389117:0415:LC
O13310	O13310	ORB6	ORB6	SPAC821.12	SPAC821.12	SPAC821.12	SPAC821.12	22629372:0415:LC|23615447:0018:LC|12646585:0415:LC
O13310	O74558	ORB6	MOB2	SPAC821.12	SPCC970.04C	SPAC821.12	SPCC970.04C	12456722:0428:LC|16096637:0019:LC|12456722:0004:LC|23615447:0018:LC|12456722:0007:LC|12456722:0018:LC|12456722:0096:LC
O13310	P78963	ORB6	SKB1	SPAC821.12	SPBC16H5.11C	SPAC821.12	SPBC16H5.11C	12646585:0004:LC|23615447:0018:LC|12646585:0018:LC|12646585:0096:LC
O13310	Q9HDV6	ORB6	MOR2	SPAC821.12	SPBP19A11.04C	SPAC821.12	SPBP19A11.04C	16096637:0018:LC|16096637:0004:LC|23615447:0018:LC|16096637:0019:LC
O13326	O14063	O13326	CUT15	SPBC428.11	SPCC962.03C	SPBC428.11	SPCC962.03C	26771498:0018:HT
O13351	O13826	PMT3	RFP1	SPBC365.06	SPAC19A8.10	SPBC365.06	SPAC19A8.10	17762865:0018:LC|17762864:0096:LC|17762864:0018:LC
O13351	Q0E7J7	PMT3	STN1	SPBC365.06	SPBC409.12C	SPBC365.06	SPBC409.12C	24925530:0018:LC|24711392:0018:LC
O13370	P34208	DED1	CHK1	SPCC1795.11	SPCC1259.13	SPCC1795.11	SPCC1259.13	11711540:0018:LC|11711540:0004:LC|17502373:0018:LC
O13453	O13453	PMP1	PMP1	SPBC1685.01	SPBC1685.01	SPBC1685.01	SPBC1685.01	26771498:0018:HT
O13453	Q10156	PMP1	LKH1	SPBC1685.01	SPAC1D4.11C	SPBC1685.01	SPAC1D4.11C	23695164:0018:HT|26771498:0018:HT
O13600	O13787	SWS1	SEC62	PI005|SPACTOKYO_453.32|SPBC11B10.06	SPAC17G6.09	SPBC11B10.06	SPAC17G6.09	26771498:0018:HT
O13600	O94670	SWS1	O94670	PI005|SPACTOKYO_453.32|SPBC11B10.06	SPBC651.12C	SPBC11B10.06	SPBC651.12C	26771498:0018:HT
O13600	Q09797	SWS1	Q09797	PI005|SPACTOKYO_453.32|SPBC11B10.06	SPAC22G7.03	SPBC11B10.06	SPAC22G7.03	26771498:0018:HT
O13614	O14261	RPS1002	TAF1	PI023|SPBP22H7.08	SPAC7D4.04	SPBP22H7.08	SPAC7D4.04	26771498:0018:HT
O13615	P39964	PRP5	CDC5	PI024|SPBP22H7.07	SPAC644.12	SPBP22H7.07	SPAC644.12	10409726:0007:LC|10409726:0004:LC|10409726:0019:LC|10409726:0027:LC|24014766:0401:LC
O13633	Q9UTN0	O13633	Q9UTN0	PI041|SPBC17A3.05C	SPAC139.03	SPBC17A3.05C	SPAC139.03	26771498:0018:HT
O13637	O94319	SEC31	SEC13	SPBC8D2.20C	SPBC215.15	SPBC8D2.20C	SPBC215.15	23695164:0018:HT|26771498:0018:HT
O13637	P41888	SEC31	TNR3	SPBC8D2.20C	SPAC6F12.05C	SPBC8D2.20C	SPAC6F12.05C	26771498:0018:HT
O13644	O74534	SED5	SLY1	PI051|SPBC8D2.14C	SPCC74.01	SPBC8D2.14C	SPCC74.01	26771498:0018:HT
O13647	O13647	O13647	O13647	PI054|SPBC8D2.11	PI054|SPBC8D2.11	SPBC8D2.11	SPBC8D2.11	26771498:0018:HT
O13647	O59670	O13647	O59670	PI054|SPBC8D2.11	SPBC29A3.07C	SPBC8D2.11	SPBC29A3.07C	26771498:0018:HT
O13647	Q9P7I3	O13647	MDV1	PI054|SPBC8D2.11	SPAC25D11.01|SPAC664.15|SPACUNK12.01	SPBC8D2.11	SPAC664.15	26771498:0018:HT
O13652	O74447	SFI1	O74447	PI059|SPBC8D2.05C	SPCC16C4.02C	SPBC8D2.05C	SPCC16C4.02C	26771498:0018:HT
O13670	Q9USP7	MTO1	Q9USP7	PI079|SPBC30B4.06C	SPBC902.06	SPBC30B4.06C	SPBC902.06	15659644:0096:LC|15800064:0007:LC|15659644:0007:LC|15800064:0676:LC|15659644:0006:LC|15659644:0416:LC|15800064:0096:LC
O13671	O13671	KAP109	KAP109	PI080|SPBC30B4.05	PI080|SPBC30B4.05	SPBC30B4.05	SPBC30B4.05	26771498:0018:HT
O13671	P28748	KAP109	SPI1	PI080|SPBC30B4.05	SPBC1289.03C	SPBC30B4.05	SPBC1289.03C	26771498:0018:HT
O13674	O14261	MUG24	TAF1	SPCC74.09	SPAC7D4.04	SPCC74.09	SPAC7D4.04	26771498:0018:HT
O13674	Q9P7Q4	MUG24	SEC18	SPCC74.09	SPAC1834.11C	SPCC74.09	SPAC1834.11C	26771498:0018:HT
O13681	O13681	IMA1	IMA1	SPCC737.03C	SPCC737.03C	SPCC737.03C	SPCC737.03C	21880100:0018:LC|26771498:0018:HT
O13681	O13712	IMA1	MUG61	SPCC737.03C	SPAC14C4.05C	SPCC737.03C	SPAC14C4.05C	21880100:0018:LC|26771498:0018:HT
O13681	O94385	IMA1	POM152	SPCC737.03C	SPBC29A10.07	SPCC737.03C	SPBC29A10.07	26771498:0018:HT
O13681	O94651	IMA1	PEP12	SPCC737.03C	SPBC31E1.04	SPCC737.03C	SPBC31E1.04	26771498:0018:HT
O13681	Q09825	IMA1	SAD1	SPCC737.03C	SPBC12D12.01|SPBC16H5.01C	SPCC737.03C	SPBC12D12.01	21880100:0018:LC|26771498:0018:HT
O13681	Q9URX8	IMA1	Q9URX8	SPCC737.03C	SPAC890.06	SPCC737.03C	SPAC890.06	26771498:0018:HT
O13685	O74983	UBC13	SPM2	SPAC11E3.04C	SPCC338.05C	SPAC11E3.04C	SPCC338.05C	16641370:0415:LC|12531016:0018:LC
O13685	O94609	UBC13	PTR3	SPAC11E3.04C	SPBC1604.21C|SPBC211.09	SPAC11E3.04C	SPBC1604.21C	23416107:0415:LC|28162934:0415:LC
O13687	Q9USP4	VMA4	MUG1	SPAC11E3.07	SPCC11E10.03	SPAC11E3.07	SPCC11E10.03	26771498:0018:HT
O13688	O94668	NSE6	NSE5	SPAC11E3.08C	SPBC651.10	SPAC11E3.08C	SPBC651.10	16478984:0096:LC|23695164:0018:HT|17762865:0018:LC|16478984:0007:LC|16478984:0004:LC|16478984:0676:LC|26771498:0018:HT
O13698	Q9P7I3	MCT1	MDV1	SPAC11G7.05C	SPAC25D11.01|SPAC664.15|SPACUNK12.01	SPAC11G7.05C	SPAC664.15	26771498:0018:HT
O13701	O74994	TAF7	RNG3	SPAC13F5.02C	SPCC613.04C	SPAC13F5.02C	SPCC613.04C	26771498:0018:HT
O13701	Q9Y7V1	TAF7	Q9Y7V1	SPAC13F5.02C	SPCC645.12C	SPAC13F5.02C	SPCC645.12C	26771498:0018:HT
O13702	O13702	GLD1	GLD1	SPAC13F5.03C	SPAC13F5.03C	SPAC13F5.03C	SPAC13F5.03C	PDB_1TA9:0114:LC
O13710	P53692	SMC5	SMC6	SPAC14C4.02C	SPCC5E4.06	SPAC14C4.02C	SPCC5E4.06	16478984:0096:LC|15601840:0007:LC|15601840:0004:LC|28134253:0114:LC|15601840:0096:LC|16478984:0007:LC|28134253:0096:LC|16478984:0004:LC|10747036:0004:LC|10747036:0401:LC|26446992:0018:LC
O13710	Q4PIR3	SMC5	NSE2	SPAC14C4.02C	SPAC16A10.06C	SPAC14C4.02C	SPAC16A10.06C	16478984:0096:LC|12966087:0676:LC|16478984:0007:LC|12966087:0071:LC|16478984:0004:LC|12966087:0096:LC
O13710	Q53EK2	SMC5	NSE1	SPAC14C4.02C	SPCC550.05	SPAC14C4.02C	SPCC550.05	16478984:0096:LC|12966087:0676:LC|16478984:0007:LC|12966087:0071:LC|16478984:0004:LC|12966087:0004:LC|12966087:0096:LC
