Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q40666	Q40666	Q40666	Q40666					12684538:0018:HT
A2WPN7	A2WPN7	SALT	SALT	OSI_001780	OSI_001780			PDB_5GVY:0114:LC
A2XDA1	A2XDA1	PDS1	PDS1	OSI_010044	OSI_010044			28669634:0114:LC
A2ZEX7	A2ZEX7	CHS1	CHS1	OSI_035120	OSI_035120			PDB_4YJY:0114:LC
B8ALM5	B8ALM5	B8ALM5	B8ALM5	OSI_11122	OSI_11122			27587838:0114:LC
B5UBC1	B5UBC1	PIKM1-TS	PIKM1-TS					29988155:0114:LC
E9KPB5	E9KPB5	PIKP-1	PIKP-1					29988155:0114:LC|26304198:0114:LC
O04986	O04986	HB1	HB1	OJ1175C11.5|OSJ_10047	OJ1175C11.5|OSJ_10047			16893175:0114:LC
O24230	Q0JDK9	EXPB2	DAD1	OSJ_32419|OSJNBB0014I11.2	OSJ_014065|OSJNBA0039C07.3			12684538:0018:HT
O82118	Q7X9A8	DTH2	RISBZ2	OSNPB_020724000|P0685G12.25	OSJNBA0094F01.19			12684538:0018:HT
P07728	Q06967	GLUA1	GF14F	P0460E08.38|P0512C01.36	OSJ_12311			12684538:0018:HT
P07728	Q7F2P0	GLUA1	Q7F2P0	P0460E08.38|P0512C01.36	B1096D03.48|OSJNBA0091E23.4|OSNPB_010382000			12684538:0018:HT
P07728	Q84PD3	GLUA1	Q84PD3	P0460E08.38|P0512C01.36				12684538:0018:HT
P07728	Q9AQW1	GLUA1	OSJNBB0089A17.4	P0460E08.38|P0512C01.36	OSJ_32472|OSNPB_100562700			12684538:0018:HT
P0C367	Q84PD2	PSBC	Q84PD2	NIP019	OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000			12684538:0018:HT
P0C512	P0C512	RBCL	RBCL	NIP064	NIP064			22609438:0114:LC
P0C512	Q0INY7	RBCL	RBCS	NIP064	OSJ_016909|OSJ_17688			22609438:0114:LC
P0C5B2	Q0J466	MADS56	MADS7	OSJ_32282|OSJNBB0060I05.3	P0702E04.10			12684538:0018:HT
P0C5B2	Q10CQ1	MADS56	MADS14	OSJ_32282|OSJNBB0060I05.3	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2			12684538:0018:HT
P0C5B2	Q6EU39	MADS56	MADS6	OSJ_32282|OSJNBB0060I05.3	OJ1123_G04.6|OSJ_07942			12684538:0018:HT
P14323	Q84PD3	GLUB1-A|GLUB1-B	Q84PD3	OJ1113_G05.6|OSJNBA0011N12.36|OJ1113_G05.4|OSJNBA0011N12.34				12684538:0018:HT
P14323	Q9FXT4	GLUB1-A|GLUB1-B	Q9FXT4	OJ1113_G05.6|OSJNBA0011N12.36|OJ1113_G05.4|OSJNBA0011N12.34	OSJNBA0041P03			12684538:0018:HT
P14614	Q84PC8	GLUB4	Q84PC8	P0693E08.16				12684538:0018:HT
P14614	Q84PD3	GLUB4	Q84PD3	P0693E08.16				12684538:0018:HT
P14614	Q84PD4	GLUB4	Q84PD4	P0693E08.16				12684538:0018:HT
P14614	Q8RZX9	GLUB4	Q8RZX9	P0693E08.16	P0034C09.44			12684538:0018:HT
P14656	Q8S7W1	GLN1-1	OSJNBA0091P11.8	OSJ_08295|P0487D09.8	OSJ_09572|OSNPB_030169600			12684538:0018:HT
P17070	P35686	P17070	RPS20	OJ1548_F12.18|OSJ_08777|OSJNBA0049O12.19	OSJ_20022|P0001H02.5-1|P0679C08.43-1			12684538:0018:HT
P17070	Q9ZRI7	P17070	Q9ZRI7	OJ1548_F12.18|OSJ_08777|OSJNBA0049O12.19	B1131G07.12			12684538:0018:HT
P17654	P17654	AMY1.1	AMY1.1	OJ1004_A11.13|P0539D10.32	OJ1004_A11.13|P0539D10.32			25036124:0114:LC
P20698	Q7F2P0	P20698	Q7F2P0		B1096D03.48|OSJNBA0091E23.4|OSNPB_010382000			12684538:0018:HT
P20698	Q84PD2	P20698	Q84PD2		OSJ_25624|OSJNBA0060O17.33|OSNPB_070685000			12684538:0018:HT
P25776	Q6Z437	P25776	MPK3	H0212B02.7|OSJNBB0059K02.8	P0479D12.11			12684538:0018:HT
P25778	Q84PD6	P25778	Q84PD6	P0046G12.22				12684538:0018:HT
P29421	P29421	RASI	RASI	OSJNBA0038O10.14	OSJNBA0038O10.14			PDB_2QN4:0114:LC
P40392	Q0JL44	RIC1	SGT1	B1064G04.9|B1144D11.31|OSJ_02222	OSJ_02663			12684538:0018:HT
P49661	Q0JL44	P49661	SGT1	P0460C04.25	OSJ_02663			12684538:0018:HT
P93431	Q6ZKC0	RCA	GF14C	OSJ_033539	OJ1124_B05.7			12684538:0018:HT
Q01401	Q01401	SBE1	SBE1	P0017G10.8-1|P0017G10.8-2|P0548E04.28-1|P0548E04.28-2	P0017G10.8-1|P0017G10.8-2|P0548E04.28-1|P0548E04.28-2			22771800:0114:LC
Q06967	Q6ZDF3	GF14F	TRAB1	OSJ_12311	P0013B04.7			12684538:0018:HT
Q06967	Q84J55	GF14F	GF14A	OSJ_12311	OJ1113_A10.40|OSJNBB0092C08.10			12684538:0018:HT
Q06967	Q84P65	GF14F	Q84P65	OSJ_12311				12684538:0018:HT
Q06967	Q84P68	GF14F	Q84P68	OSJ_12311				12684538:0018:HT
Q06967	Q84PA4	GF14F	Q84PA4	OSJ_12311	OSNPB_030278900			12684538:0018:HT
Q06967	Q84PD5	GF14F	Q84PD5	OSJ_12311	OJ1123_G04.1|OSJ_07941|OSNPB_020681900			12684538:0018:HT
Q06967	Q9AQW1	GF14F	OSJNBB0089A17.4	OSJ_12311	OSJ_32472|OSNPB_100562700			12684538:0018:HT
Q0D4T4	Q0J466	MADS18	MADS7	OSJ_25046|OSJNBB0040H10.26	P0702E04.10			12684538:0018:HT
Q0D4T4	Q6EU39	MADS18	MADS6	OSJ_25046|OSJNBB0040H10.26	OJ1123_G04.6|OSJ_07942			12684538:0018:HT|10444103:0018:LC
Q0DBD3	Q6YW46	PP2A1	Q6YW46	OSJ_020918|OSJNBA0006A22.44	B1131G07.11			12684538:0018:HT
Q0DEB8	Q0J466	MADS5	MADS7	OSJ_019405|P0681F10.39	P0702E04.10			12684538:0018:HT
Q0DEB8	Q10CQ1	MADS5	MADS14	OSJ_019405|P0681F10.39	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2			12684538:0018:HT
Q0DEB8	Q2QW53	MADS5	MADS13	OSJ_019405|P0681F10.39	OSJ_35557			12684538:0018:HT
Q0DEB8	Q5ZD06	MADS5	Q5ZD06	OSJ_019405|P0681F10.39	OSJ_03613|OSNPB_010771200|P0665A11.29			12684538:0018:HT
Q0DEB8	Q6EU39	MADS5	MADS6	OSJ_019405|P0681F10.39	OJ1123_G04.6|OSJ_07942			12684538:0018:HT|10444103:0018:LC
Q0DEB8	Q7XTE8	MADS5	GF14B	OSJ_019405|P0681F10.39	B0812A04.1|B1358B12.12|OSJNBA0072F16.20			12684538:0018:HT
Q0DEB8	Q7XUN2	MADS5	MADS17	OSJ_019405|P0681F10.39	OSJNBA0064M23.11			12684538:0018:HT
Q0DJV6	Q6Z437	CML18	MPK3	OJ1532_D06.3	P0479D12.11			12684538:0018:HT
Q0DN94	Q7F2P0	Q0DN94	Q7F2P0	OSJNBA0079B15	B1096D03.48|OSJNBA0091E23.4|OSNPB_010382000			12684538:0018:HT
Q0E2S4	Q10L32	PP2A3	MSRB5	OSJ_005728|P0027A02.2-1|P0027A02.2-2	OSJ_10923			12684538:0018:HT
Q0E2S4	Q84P58	PP2A3	Q84P58	OSJ_005728|P0027A02.2-1|P0027A02.2-2				12684538:0018:HT
Q0IQK9	Q0IQK9	LTP	LTP	OSJ_033644	OSJ_033644			15295114:0114:LC
Q0J466	Q10CQ1	MADS7	MADS14	P0702E04.10	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2			12684538:0018:HT
Q0J466	Q10PZ9	MADS7	MADS1	P0702E04.10	OSJ_09913			12684538:0018:HT
Q0J466	Q2QW53	MADS7	MADS13	P0702E04.10	OSJ_35557			12684538:0018:HT|12395189:0018:LC
Q0J466	Q40704	MADS7	MADS3	P0702E04.10				12684538:0018:HT
Q0J466	Q5K4R0	MADS7	MADS47	P0702E04.10				12684538:0018:HT
Q0J466	Q6EU39	MADS7	MADS6	P0702E04.10	OJ1123_G04.6|OSJ_07942			12684538:0018:HT|10444103:0018:LC
Q0J466	Q6Q9I2	MADS7	MADS15	P0702E04.10	OJ1567_G09.109-1|P0585H11.124-1			12684538:0018:HT
Q0J8A4	Q0J8A4	GAPC1	GAPC1	OJ1163_G08.15|OSJ_024858	OJ1163_G08.15|OSJ_024858			PDB_3E6A:0114:LC|PDB_3E5R:0114:LC|22903596:0114:LC
Q0JBH9	Q0JL44	ERG3	SGT1	OSJ_014914|OSJNBA0081C01.13	OSJ_02663			12684538:0018:HT
Q0JBH9	Q5KQN5	ERG3	Q5KQN5	OSJ_014914|OSJNBA0081C01.13	OSNPB_050157000|P0676G05.10			12684538:0018:HT
Q0JBH9	Q5WAB3	ERG3	Q5WAB3	OSJ_014914|OSJNBA0081C01.13	OSJ_20260|OSNPB_060167100|P0680A03.21			12684538:0018:HT
Q0JBH9	Q5Z8V8	ERG3	Q5Z8V8	OSJ_014914|OSJNBA0081C01.13	OSNPB_060704700|P0018H04.3			12684538:0018:HT
Q0JBH9	Q6AVA8	ERG3	PPDK1	OSJ_014914|OSJNBA0081C01.13	OJ1174_H11.5|OSJ_017742			12684538:0018:HT
Q0JBH9	Q6AVV1	ERG3	OSJNBB0024N19.14	OSJ_014914|OSJNBA0081C01.13				12684538:0018:HT
Q0JBH9	Q84P76	ERG3	Q84P76	OSJ_014914|OSJNBA0081C01.13				12684538:0018:HT
Q0JBH9	Q84P79	ERG3	Q84P79	OSJ_014914|OSJNBA0081C01.13				12684538:0018:HT
Q0JBH9	Q84P80	ERG3	Q84P80	OSJ_014914|OSJNBA0081C01.13				12684538:0018:HT
Q0JBH9	Q84P81	ERG3	Q84P81	OSJ_014914|OSJNBA0081C01.13				12684538:0018:HT
Q0JBH9	Q84P82	ERG3	Q84P82	OSJ_014914|OSJNBA0081C01.13				12684538:0018:HT
Q0JBH9	Q942J6	ERG3	Q942J6	OSJ_014914|OSJNBA0081C01.13	B1148D12.11|OSNPB_010816700			12684538:0018:HT
Q0JDK9	Q84PB8	DAD1	Q84PB8	OSJ_014065|OSJNBA0039C07.3				12684538:0018:HT
Q0JDK9	Q8W0H5	DAD1	PHT43	OSJ_014065|OSJNBA0039C07.3	P0529E05.4-1|P0529E05.4-2|P0529H11.39-1|P0529H11.39-2			12684538:0018:HT
Q0JHF1	Q6AVM5	BZIP12	Q6AVM5	P0677H08.2-1	OJ1119_H02.18|OSNPB_050489700			12684538:0018:HT
Q0JL44	Q0JL44	SGT1	SGT1	OSJ_02663	OSJ_02663			12684538:0018:HT
Q0JL44	Q10D34	SGT1	IAA13	OSJ_02663	OJ1365_D05.5|OSJ_012025			12684538:0018:HT
Q0JL44	Q33BD7	SGT1	OSJNBA0023I19.11	OSJ_02663	OSJ_30537|OSNPB_100116900			12684538:0018:HT
Q0JL44	Q6K439	SGT1	PAP2	OSJ_02663	P0406E03.32-1			12684538:0018:HT
Q0JL44	Q84P99	SGT1	Q84P99	OSJ_02663				12684538:0018:HT
Q0JL44	Q84PA0	SGT1	Q84PA0	OSJ_02663				12684538:0018:HT
Q0JL44	Q84PC5	SGT1	Q84PC5	OSJ_02663	OJ1212_C10.12|OSJ_17614|OSNPB_050227600			12684538:0018:HT
Q0JLP9	Q5Z8S0	PP2C06	PYL9		P0456F09.29|P0656E03.2			24743650:0114:LC
Q0JMY8	Q0JMY8	SALT	SALT	B1051E10.18|P0440D10.39	B1051E10.18|P0440D10.39			28973127:0114:LC
Q109R6	Q109R6	CUTA1	CUTA1	OSJ_31315	OSJ_31315			PDB_2ZOM:0114:LC
Q10BA8	Q6H6T1	OJ1111_B11.20	Q6H6T1	OSJ_13186|OSNPB_030825300	OSNPB_020648100|P0048B08.2|P0519A12.33			12684538:0018:HT
Q10CE7	Q10CE7	GSTU1	GSTU1	OSJ_012308	OSJ_012308			12692133:0114:LC
Q10CQ1	Q10CQ1	MADS14	MADS14	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2			12684538:0018:HT
Q10CQ1	Q10PZ9	MADS14	MADS1	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OSJ_09913			11197326:0096:LC|12684538:0018:HT|19558411:0018:LC|11197326:0018:LC
Q10CQ1	Q5K4R0	MADS14	MADS47	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2				12684538:0018:HT
Q10CQ1	Q6EU39	MADS14	MADS6	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OJ1123_G04.6|OSJ_07942			12684538:0018:HT|10444103:0018:LC
Q10CQ1	Q7XUJ5	MADS14	HOX22	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OSJ_014981|OSJNBB0103I08.6			12684538:0018:HT
Q10CQ1	Q7XUN2	MADS14	MADS17	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OSJNBA0064M23.11			12684538:0018:HT
Q10CQ1	Q9SAR1	MADS14	MADS8	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OSJ_29947			12684538:0018:HT
Q10CQ1	Q9XJ66	MADS14	MADS22	OJ1112_G08.13|OSJ_12598|OSJNBA0032E21.04|OSJNBA0047E24.2	OJ1175_B01.24|OSJ_08471			12684538:0018:HT
Q10PZ9	Q6EU39	MADS1	MADS6	OSJ_09913	OJ1123_G04.6|OSJ_07942			12684538:0018:HT|10444103:0018:LC
Q10PZ9	Q6Q9I2	MADS1	MADS15	OSJ_09913	OJ1567_G09.109-1|P0585H11.124-1			11197326:0096:LC|12684538:0018:HT|11197326:0018:LC
Q10QA5	Q10QA5	D14	D14					24131983:0114:LC|30391752:0114:LC|29394369:0114:LC|23301669:0114:LC|26470846:0114:LC|29523686:0114:LC|29727000:0114:LC|23381136:0114:LC
Q2QY04	Q9FXT4	TAP46	Q9FXT4	OSJ_35163	OSJNBA0041P03			12684538:0018:HT
Q2QYF3	Q8H2X8	SCR2	SHR1	OSJ_033689	OJ1047_C01.1|OJ1113_E01.116|OSJ_24926			17446396:0018:LC|25352666:0018:LC
Q2R0Q1	Q8RZX9	U2AF65A	Q8RZX9	OSJ_34542	P0034C09.44			12684538:0018:HT
Q2R2X7	Q2R2X7	Q2R2X7	Q2R2X7	OSNPB_110545600	OSNPB_110545600			27638467:0114:LC
Q40677	Q6ZKC0	ALDP	GF14C	OSJ_33121	OJ1124_B05.7			12684538:0018:HT
Q40680	Q5Z627	Q40680	Q5Z627	P0616D06.117	OSJNBA0006A22.2|P0610D01.10			12684538:0018:HT
Q40680	Q9ZRI7	Q40680	Q9ZRI7	P0616D06.117	B1131G07.12			12684538:0018:HT
Q40682	Q5Z627	Q40682	Q5Z627	OSJNBA0002D18.20	OSJNBA0006A22.2|P0610D01.10			12684538:0018:HT
Q40682	Q6YW46	Q40682	Q6YW46	OSJNBA0002D18.20	B1131G07.11			12684538:0018:HT
Q40682	Q84PD6	Q40682	Q84PD6	OSJNBA0002D18.20				12684538:0018:HT
Q40682	Q9ZRI7	Q40682	Q9ZRI7	OSJNBA0002D18.20	B1131G07.12			12684538:0018:HT
Q40702	Q944S9	MADS2	MADS16	B1065E10.30|OSJ_04312	OJ1663_H12.32|P0712G01.7			12684538:0018:HT
Q40704	Q84P62	MADS3	Q84P62		OSJNBA0087O24.10|OSNPB_040665800			12684538:0018:HT
Q40704	Q9SAR1	MADS3	MADS8		OSJ_29947			12684538:0018:HT
Q5K4R0	Q6EU39	MADS47	MADS6		OJ1123_G04.6|OSJ_07942			12684538:0018:HT
Q5N8J1	Q5N8J1	SWEET2B	SWEET2B	OSJ_03146|P0047E11.3|P0454A11.22	OSJ_03146|P0047E11.3|P0454A11.22			26479032:0007:LC|26479032:0114:LC|26479032:0030:LC
Q5NBT9	Q5NBT9	TPR1	TPR1	OSJ_01134|OSNPB_010254100|P0705D01.10-1	OSJ_01134|OSNPB_010254100|P0705D01.10-1			26601214:0114:LC|28630893:0114:LC
Q5SNJ5	Q9SXG8	P0710E05.32-1	DOF1		OSJNBA0005N02.10			12684538:0018:HT
Q5VMP0	Q5VMP0	D3	D3	OSJNBA0085L11.6-1	OSJNBA0085L11.6-1			30464344:0114:LC|27479325:0114:LC
Q5VNW0	Q6ZKC0	Q5VNW0	GF14C	P0001H02.4|P0679C08.42	OJ1124_B05.7			12684538:0018:HT
Q5VRM0	Q5VRM0	ACBP2	ACBP2	OSJ_19900|OSJNBA0019F11.14|P0541H01.36	OSJ_19900|OSJNBA0019F11.14|P0541H01.36			28471368:0114:LC
Q5VRZ6	Q84PD3	Q5VRZ6	Q84PD3	OSNPB_060112400|P0029D06.26				12684538:0018:HT
Q5ZAJ0	Q5ZAJ0	RBOHB	RBOHB	B1164G11.26|OSJ_01746	B1164G11.26|OSJ_01746			19864426:0114:LC
Q5ZD06	Q6K6Z3	Q5ZD06	Q6K6Z3	OSJ_03613|OSNPB_010771200|P0665A11.29	OJ1119_A01.21|OSJ_08923|OSNPB_020822400|P0474F11.36			12684538:0018:HT
Q5ZD36	Q8S7W1	P0710A02.31	OSJNBA0091P11.8		OSJ_09572|OSNPB_030169600			12684538:0018:HT
Q60F23	Q9SXG8	Q60F23	DOF1	OSJNBA0059G01.12|P0431G05.1	OSJNBA0005N02.10			12684538:0018:HT
