Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
C0SP91	P40950	YYCJ	YUXN					21630458:0018:HT
C0SPA0	C0SPA0	AMYX	AMYX					PDB_2E8Y:0114:LC|PDB_2E8Z:0114:LC|PDB_2E9B:0114:LC
C0SPB6	C0SPB6	SSBB	SSBB					22373918:0114:LC
O05253	P39216	YUFO	TLPA					21630458:0018:HT
O05268	O05268	YUMC	YUMC					20878669:0114:LC
O05403	O05403	RSIV	RSIV					PDB_5JEN:0114:LC
O05404	P37870	SIGV	RPOB					21630458:0018:HT
O05495	O05495	YDHD	YDHD					PDB_3CZ8:0114:LC
O05501	P54423	YDHI	WPRA					21630458:0018:HT
O05503	O05503	YDHK	YDHK					PDB_4FIB:0114:LC
O05512	O05512	GMUG	GMUG					PDB_3CBW:0114:LC
O05521	O05521	REX	REX					18485070:0114:LC
O06480	O06480	YFNB	YFNB					PDB_3I76:0114:LC
O06714	P05096	SBCC	DNAG					21630458:0018:HT
O06714	P39214	SBCC	MCPA					21630458:0018:HT
O06714	P39216	SBCC	TLPA					21630458:0018:HT
O06727	P13799	YISN	DEGS					21630458:0018:HT
O06727	P25499	YISN	HRCA					21630458:0018:HT
O06727	P54459	YISN	YQEN					21630458:0018:HT
O06741	O06741	YITF	YITF					PDB_2GDQ:0114:LC
O06966	P39668	YVCB	YYXA					21630458:0018:HT
O06968	O07523	YVCD	YHAP					21630458:0018:HT
O06968	P35154	YVCD	SCPA					21630458:0018:HT
O06968	P40950	YVCD	YUXN					21630458:0018:HT
O06968	P94412	YVCD	YCLI					21630458:0018:HT
O06973	P39668	YVCJ	YYXA					21630458:0018:HT
O06976	O06976	CRH	CRH					16411239:0114:LC|12972249:0114:LC|18284240:0114:LC|PDB_1MO1:0114:LC
O06976	O31522	CRH	YESS					21630458:0018:HT
O06976	O34483	CRH	HPRK					21630458:0018:HT|12009882:0107:LC
O06993	O31851	MDXK	YOJM					21630458:0018:HT
O06994	O06994	MALL	MALL					29563521:0114:LC|24015933:0114:LC
O06995	O06995	YVDM	YVDM					PDB_3NAS:0114:LC
O07001	O07001	YVDT	YVDT					PDB_2F07:0114:LC
O07006	O07006	PADC	PADC					PDB_4ALB:0114:LC
O07015	O07015	RSBQ	RSBQ					15632289:0114:LC
O07513	O07513	HIT	HIT					PDB_1Y23:0114:LC
O07517	O07517	YHAI	YHAI					PDB_1SED:0114:LC
O07517	P54521	YHAI	XSEA					21630458:0018:HT
O07520	P26497	YHAL	SPO0J					21630458:0018:HT
O07521	O07521	YHAM	YHAM					21630458:0018:HT
O07521	O31915	YHAM	YOQX					21630458:0018:HT
O07521	O32071	YHAM	YTDP					21630458:0018:HT
O07521	P37469	YHAM	DNAC					21630458:0018:HT
O07522	O08455	YHAO	YHAN					21630458:0018:HT
O07523	O07523	YHAP	YHAP					21630458:0018:HT
O07523	O07585	YHAP	YHDP					21630458:0018:HT
O07523	O31469	YHAP	YCZC					21630458:0018:HT
O07523	O31501	YHAP	SWRC					21630458:0018:HT
O07523	O31522	YHAP	YESS					21630458:0018:HT
O07523	O31794	YHAP	YMAF					21630458:0018:HT
O07523	O32071	YHAP	YTDP					21630458:0018:HT
O07523	O32193	YHAP	CSSS					21630458:0018:HT
O07523	O32212	YHAP	NHAK					21630458:0018:HT
O07523	O32239	YHAP	YVAQ					21630458:0018:HT
O07523	O32247	YHAP	YVBJ					21630458:0018:HT
O07523	O34319	YHAP	YKCC					21630458:0018:HT
O07523	O34384	YHAP	YCEE					21630458:0018:HT
O07523	O34427	YHAP	CITS					21630458:0018:HT
