Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A1L565	A1L565	CD1D	CD1D					23110152:0114:LC
A1L565	P01888	CD1D	B2M					23110152:0114:LC
A5D791	A5D791	EIF2AK3	EIF2AK3					29386355:0114:LC
A5PJH9	A5PJH9	UPP1	UPP1					20364833:0114:LC
A5PJW8	G3MZY8	POLR2B	POLR2A					26789250:0020:LC|26789250:0030:LC|16769904:0006:LC|26789250:0410:LC|26789250:0071:LC
A7MB62	Q58CQ2	ACTR2	ARPC1B					23893131:0114:LC|18462674:0071:LC|18462674:0826:LC|19648907:0071:LC|18462674:0028:LC|18462674:0067:LC|19648907:0114:LC
B5B0D4	B5B0D4	B5B0D4	B5B0D4					29737841:0114:LC
E1B792	E1B792	CLCNKA	CLCNKA					28002411:0114:LC
E1BHM0	E1BHM0	CLEC4E	CLEC4E					23960080:0114:LC|27542410:0114:LC
F1MWD3	Q2NKZ1	CCT5	CCT7					20194787:0040:LC|21151115:0114:LC|21151115:0069:LC|21151115:0071:LC|21151115:0410:LC|20194787:0030:LC
F1MWD3	Q2T9X2	CCT5	CCT4					21151115:0410:LC|21151115:0069:LC|21151115:0114:LC|20194787:0040:LC|21151115:0071:LC
F1MWD3	Q32L40	CCT5	TCP1					21151115:0410:LC|21151115:0069:LC|21151115:0114:LC|20194787:0040:LC|21151115:0071:LC
F1MWD3	Q3MHL7	CCT5	CCT6A					21151115:0410:LC|21151115:0069:LC|21151115:0114:LC|20194787:0040:LC|21151115:0071:LC
F1MWD3	Q3T0K2	CCT5	CCT3					21151115:0410:LC|21151115:0069:LC|21151115:0114:LC|20194787:0040:LC|21151115:0071:LC
F1MWD3	Q3ZBH0	CCT5	CCT2					20194787:0040:LC|21151115:0114:LC|21151115:0069:LC|21151115:0071:LC|21151115:0410:LC|20194787:0030:LC
F1MWD3	Q3ZCI9	CCT5	CCT8					21151115:0410:LC|21151115:0069:LC|21151115:0114:LC|20194787:0040:LC|21151115:0071:LC
F2Z4C1	F2Z4C1	TUBA1A	TUBA1A					28991265:0114:LC
F2Z4C1	Q6B856	TUBA1A	TUBB2B					28826477:0114:LC|28991265:0114:LC
G3MWR4	Q04645	ATP1B1	FXYD2					27050261:0114:LC
G3MWR4	Q08DA1	ATP1B1	ATP1A1					27050261:0114:LC
G3MZY8	Q2T9T3	POLR2A	POLR2E					26789250:0030:LC|16769904:0006:LC
O18973	P0CH28	RABGEF1	UBC					16462746:0065:LC|16462746:0107:LC|16462746:0114:LC
O46469	O46469	RGS9	RGS9					11234020:0114:LC
O46469	P04695	RGS9	GNAT1					11234020:0114:LC
O46469	P04972	RGS9	PDE6G					11234020:0114:LC
O46470	O46470	RGS7	RGS7					30540250:0114:LC
P00125	P00126	CYC1	UQCRH					16924113:0114:LC|16120479:0006:LC|9204897:0114:LC|12269811:0114:LC
P00125	P00129	CYC1	UQCRB					16924113:0114:LC|16120479:0006:LC|9204897:0114:LC|12269811:0114:LC
P00125	P00130	CYC1	UQCR10					16924113:0114:LC|16120479:0006:LC|9204897:0114:LC|12269811:0114:LC
P00125	P00157	CYC1	MT-CYB					16924113:0114:LC|16120479:0006:LC|9204897:0114:LC|12269811:0114:LC
P00125	P07552	CYC1	UQCR11					16924113:0114:LC|9204897:0114:LC
P00125	P13271	CYC1	UQCRQ					16924113:0114:LC|16120479:0006:LC|9204897:0114:LC
