Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A178UAB5	A0A178UAB5	A0A178UAB5	A0A178UAB5					30160967:0114:LC
A0A178UE66	Q9SUR9	PBS2	SGT1A		F9D16.40		LOCUS:2128404	18818696:0018:LC|11847307:0018:LC|18032631:0096:LC|18032631:0018:LC
A0A178UE66	Q9SUT5	PBS2	SGT1B		F8L21.50		LOCUS:2128278	11847307:0018:LC|18032631:0096:LC|18032631:0018:LC|18065690:0018:LC|18032631:0114:LC
A0A178UQA6	A8MQE1	MNA5.13	A8MQE1		T12J5.14		LOCUS:2131611	21798944:0018:HT|21798944:0397:HT
A0A178UQA6	Q8LAZ7	MNA5.13	CSN5A		F19G10.12		LOCUS:2017764	21798944:0018:HT|21798944:0397:HT
A0A178UQA6	Q8VZE5	MNA5.13	Q8VZE5		T25N20.6|T25N20_6		LOCUS:2201056	21798944:0018:HT|21798944:0397:HT
A0A178UQA6	Q9FGF5	MNA5.13	MVP7.11				LOCUS:2176070	21798944:0018:HT|21798944:0397:HT
A0A178US29	F4HWU0	MUA22.21	F4HWU0		F21D18.32		LOCUS:2023767	24833385:0112:HT
A0A178US29	O64852	MUA22.21	IQD6		T1D16.18|T1D16_18		LOCUS:2057459	24833385:0112:HT
A0A178US29	P92994	MUA22.21	CYP73A5		T6B20.16		LOCUS:2064402	24833385:0112:HT
A0A178US29	Q84N34	MUA22.21	HHP2		F6I18.240		LOCUS:2126709	24833385:0112:HT
A0A178US29	Q8L709	MUA22.21	CHX28		F4F15.190		LOCUS:2083830	24833385:0112:HT
A0A178US29	Q8L9S0	MUA22.21	Q8L9S0		F28N24.23		LOCUS:2029954	24833385:0112:HT
A0A178US29	Q8LPK5	MUA22.21	CESA8		F28A21.190		LOCUS:2124167	24833385:0112:HT
A0A178US29	Q8RY98	MUA22.21	Q8RY98		F24B9.36|F24B9_36		LOCUS:2026499	24833385:0112:HT
A0A178US29	Q8RYE2	MUA22.21	Q8RYE2				LOCUS:505006314	24833385:0112:HT
A0A178US29	Q94CG2	MUA22.21	BET12		FCAALL.379		LOCUS:1005716319	24833385:0112:HT
A0A178US29	Q9AST5	MUA22.21	Q9AST5		K6M13.9|K6M13_9		LOCUS:2157849	24833385:0112:HT
A0A178US29	Q9C7D7	MUA22.21	Q9C7D7		F28J15.3		LOCUS:2082199	24833385:0112:HT
A0A178US29	Q9C835	MUA22.21	CYP21-4		T8E24.14		LOCUS:2103420	24833385:0112:HT
A0A178US29	Q9FHB8	MUA22.21	Q9FHB8		K24M7.17|K24M7_17		LOCUS:2156702	24833385:0112:HT
A0A178US29	Q9FNH6	MUA22.21	NHL3		MHF15.16		LOCUS:2164305	24833385:0112:HT
A0A178US29	Q9FY75	MUA22.21	POT7		T5E8_200		LOCUS:2184722	24833385:0112:HT
A0A178US29	Q9LMN8	MUA22.21	WAK3		F16F4.8		LOCUS:2014897	24833385:0112:HT
A0A178US29	Q9LPN5	MUA22.21	VPS60-1		F13M14.7|F18K10.26		LOCUS:2075800	24833385:0112:HT
A0A178US29	Q9LSP7	MUA22.21	UBC32		K14A17.7		LOCUS:2086067	24833385:0112:HT
A0A178US29	Q9LYI4	MUA22.21	EMB3135		F14F18.60|F14F18_60		LOCUS:2143064	24833385:0112:HT
A0A178US29	Q9SHI7	MUA22.21	UBC34		F20D23.1		LOCUS:2020392	24833385:0112:HT
A0A178US29	Q9SX96	MUA22.21	Q9SX96		F16N3.6|F16N3_6		LOCUS:2015393	24833385:0112:HT
A0A178US29	Q9SZG0	MUA22.21	HHP4		F19F18.170		LOCUS:2120140	24833385:0112:HT
A0A178UUY0	O22100	A0A178UUY0	F16M2_110	F10N7.190|F10N7_190			LOCUS:2077244	24833385:0112:HT
A0A178UW40	O22622	HOS3-1	DAD2		T32F12.10			24833385:0090:HT
A0A178UW40	Q07488	HOS3-1	BCB		F5O24.120		LOCUS:2149249	24833385:0090:HT
A0A178UW40	Q1PE54	HOS3-1	Q1PE54		F7H19.280|F7H19_280		LOCUS:2127158	24833385:0090:HT
A0A178UW40	Q3E912	HOS3-1	DMP10		F21A20.80		LOCUS:2146380	24833385:0090:HT
A0A178UW40	Q6DR41	HOS3-1	Q6DR41		T32G6.13|T32G6_13		LOCUS:2062678	24833385:0090:HT
A0A178UW40	Q8H157	HOS3-1	NPF4.6		T17F3.12		LOCUS:2196739	24833385:0090:HT
A0A178UW40	Q93XX5	HOS3-1	Q93XX5		K21H1.9		LOCUS:2155523	24833385:0090:HT
A0A178UW40	Q94AU5	HOS3-1	Q94AU5		T20D1.90|T20D1_90		LOCUS:2180796	24833385:0090:HT
A0A178UW40	Q9FFD0	HOS3-1	PIN5		MQK4.28		LOCUS:2171392	24833385:0090:HT
A0A178UW40	Q9LDN1	HOS3-1	CRK33		F25E4.110		LOCUS:2123071	24833385:0090:HT
A0A178UW40	Q9LZQ0	HOS3-1	Q9LZQ0		T12C14_100			24833385:0090:HT
A0A178UW40	Q9M9C3	HOS3-1	Q9M9C3		AT1G68380|T2E12.7		LOCUS:2202329	24833385:0090:HT
A0A178UW40	Q9SCP2	HOS3-1	Q9SCP2		T4D2.120		LOCUS:2101998	24833385:0090:HT
A0A178UW40	Q9ZPS7	HOS3-1	TMN3		F14H20.4		LOCUS:2041160	24833385:0090:HT
A0A178UXH8	Q9C942	A0A178UXH8	CSE	F19F18.40|F19F18_40	F14G24.3		LOCUS:2011511	21952135:0018:HT
A0A178VPF6	O64852	A0A178VPF6	IQD6	T23O15.18	T1D16.18|T1D16_18		LOCUS:2057459	24833385:0112:HT
A0A178VPF6	Q6NQ51	A0A178VPF6	RRT4	T23O15.18	F16A14.24|F7A19.11		LOCUS:2014869	24833385:0112:HT
A0A178VPF6	Q84N34	A0A178VPF6	HHP2	T23O15.18	F6I18.240		LOCUS:2126709	24833385:0112:HT
A0A178VPF6	Q8H129	A0A178VPF6	PAP3	T23O15.18	F10B6.10		LOCUS:2006742	24833385:0112:HT
A0A178VPF6	Q8L9S0	A0A178VPF6	Q8L9S0	T23O15.18	F28N24.23		LOCUS:2029954	24833385:0112:HT
A0A178VPF6	Q8RY98	A0A178VPF6	Q8RY98	T23O15.18	F24B9.36|F24B9_36		LOCUS:2026499	24833385:0112:HT
A0A178VPF6	Q8VYS5	A0A178VPF6	TBL18	T23O15.18	T30C3.30		LOCUS:2138043	24833385:0112:HT
