"","from","to"
"1","ADaCGH","cgh"
"2","ADaCGH","papply"
"3","ADaCGH","GDD"
"4","ADaCGH","waveslim"
"5","ADaCGH","cluster"
"6","ADaCGH","Hmisc"
"7","AER","car"
"8","AER","Formula"
"9","AER","lmtest"
"10","AER","sandwich"
"11","AER","strucchange"
"12","AER","survival"
"13","AER","zoo"
"14","AGSDest","ldbounds"
"15","AIGIS","gpclib"
"16","AIM","survival"
"17","ALS","nnls"
"18","ALS","Iso"
"19","AMA","rJava"
"20","AcceptanceSampling","methods"
"21","AcceptanceSampling","R"
"22","AcceptanceSampling","stats"
"23","AdMit","mvtnorm"
"24","AdaptFit","SemiPar"
"25","AdaptFit","MASS"
"26","AdaptFit","nlme"
"27","AdaptFit","cluster"
"28","Agreement","R2HTML"
"29","Amelia","foreign"
"30","Amelia","utils"
"31","AnalyzeFMRI","tcltk"
"32","AnalyzeFMRI","R.matlab"
"33","AnalyzeFMRI","fastICA"
"34","AnnotLists","tcltk"
"35","AquaEnv","minpack.lm"
"36","AquaEnv","deSolve"
"37","ArDec","stats"
"38","ArDec","methods"
"39","aCGH.Spline","rJava"
"40","abc","nnet"
"41","abc","quantreg"
"42","abc","locfit"
"43","abd","nlme"
"44","abd","lattice"
"45","abd","grid"
"46","abind","R"
"47","actuar","R"
"48","ada","rpart"
"49","adabag","rpart"
"50","adabag","mlbench"
"51","adaptTest","lattice"
"52","ade4TkGUI","ade4"
"53","ade4TkGUI","tcltk"
"54","adegenet","methods"
"55","adegenet","MASS"
"56","adehabitat","ade4"
"57","adehabitatHR","sp"
"58","adehabitatHR","methods"
"59","adehabitatHR","gpclib"
"60","adehabitatHR","tripack"
"61","adehabitatHR","ade4"
"62","adehabitatHR","adehabitatMA"
"63","adehabitatHR","adehabitatLT"
"64","adehabitatHS","sp"
"65","adehabitatHS","methods"
"66","adehabitatHS","gpclib"
"67","adehabitatHS","ade4"
"68","adehabitatHS","adehabitatMA"
"69","adehabitatHS","adehabitatHR"
"70","adehabitatLT","sp"
"71","adehabitatLT","methods"
"72","adehabitatLT","gpclib"
"73","adehabitatLT","ade4"
"74","adehabitatLT","adehabitatMA"
"75","adehabitatLT","CircStats"
"76","adehabitatMA","sp"
"77","adehabitatMA","methods"
"78","adehabitatMA","gpclib"
"79","adephylo","methods"
"80","adephylo","phylobase"
"81","adephylo","ape"
"82","adephylo","ade4"
"83","adimpro","R"
"84","adimpro","grDevices"
"85","adlift","EbayesThresh"
"86","afmtools","polynom"
"87","afmtools","fracdiff"
"88","afmtools","hypergeo"
"89","afmtools","sandwich"
"90","afmtools","longmemo"
"91","agsemisc","lattice"
"92","agsemisc","grid"
"93","alabama","numDeriv"
"94","allan","biglm"
"95","alphahull","tripack"
"96","alphahull","sgeostat"
"97","alphahull","splancs"
"98","alr3","car"
"99","amba","ofp"
"100","amer","methods"
"101","amer","nlme"
"102","amer","Matrix"
"103","amer","splines"
"104","amer","lme4"
"105","anacor","rgl"
"106","anacor","scatterplot3d"
"107","anacor","fda"
"108","anacor","colorspace"
"109","anacor","car"
"110","analogue","vegan"
"111","analogue","lattice"
"112","analogue","MASS"
"113","anchors","rgenoud"
"114","anchors","MASS"
"115","andrews","R"
"116","anesrake","Hmisc"
"117","anm","clim.pact"
"118","anm","xtable"
"119","ant","rJava"
"120","aod","R"
"121","aod","methods"
"122","aod","stats"
"123","apTreeshape","R"
"124","apcluster","R"
"125","apcluster","methods"
"126","ape","R"
"127","aplpack","R"
"128","aplpack","tcltk"
"129","approximator","emulator"
"130","apsrtable","R"
"131","apsrtable","methods"
"132","apt","car"
"133","apt","erer"
"134","aqp","plyr"
"135","aqp","reshape"
"136","aqp","lattice"
"137","aqp","cluster"
"138","aqp","sp"
"139","aqp","Hmisc"
"140","aratio","akima"
"141","aratio","lattice"
"142","aratio","locfit"
"143","aratio","quantreg"
"144","aratio","boot"
"145","archetypes","methods"
"146","archetypes","stats"
"147","archetypes","modeltools"
"148","archetypes","nnls"
"149","ares","foreign"
"150","ares","gam"
"151","ares","gplots"
"152","ares","splines"
"153","arm","methods"
"154","arm","MASS"
"155","arm","Matrix"
"156","arm","lme4"
"157","arm","R2WinBUGS"
"158","arm","abind"
"159","arm","car"
"160","aroma.affymetrix","R.utils"
"161","aroma.affymetrix","R.filesets"
"162","aroma.affymetrix","aroma.core"
"163","aroma.affymetrix","aroma.light"
"164","aroma.affymetrix","aroma.apd"
"165","aroma.affymetrix","R.rsp"
"166","aroma.apd","R.methodsS3"
"167","aroma.apd","R.utils"
"168","aroma.apd","R.huge"
"169","aroma.cn","aroma.core"
"170","aroma.cn","aroma.light"
"171","aroma.core","R.methodsS3"
"172","aroma.core","R.oo"
"173","aroma.core","R.utils"
"174","aroma.core","R.cache"
"175","aroma.core","R.filesets"
"176","aroma.core","R.rsp"
"177","aroma.core","matrixStats"
"178","aroma.core","digest"
"179","aroma.core","aroma.light"
"180","aroma.light","R.methodsS3"
"181","arrayImpute","RGtk2"
"182","arrayImpute","cairoDevice"
"183","arrayImpute","impute"
"184","arrayImpute","matlab"
"185","arrayImpute","quantreg"
