,Holly,Yew,Ivy,Mistletoe,Dog rose,Haws,Rowan,Whitebeam,Wild service tree,Wild cherry,Bird cherry,Blackthorn,Blackberry,Wild raspberry,Crab-apple,Elder,Wayfaring tree,Guelder rose,Honeysuckle (common),Honeysuckle (perfoliate),Dogwood,Privet,Buckthorn,Spindle,Wild currant,Wild Gooseberry,Woody nightshade,Black nightshade,Deadly nightshade,White bryony,Black bryony,Spurge laurel,Mezereon,Juniper,Lords and ladies
Blackbird,612,480,867,4,603,1559,505,257,0,394,89,268,138,5,131,169,40,14,20,78,72,110,228,94,9,0,26,0,0,15,26,0,0,2,42
Song Thrush,57,510,379,2,7,113,22,36,0,48,21,310,5,0,13,187,6,95,2,11,58,12,37,19,2,0,20,0,0,5,5,0,0,0,0
Mistle Thrush,370,233,119,251,12,147,32,69,0,40,28,53,0,0,13,4,0,4,0,0,1,5,41,0,0,0,0,0,0,0,0,0,0,8,0
Fieldfare,84,0,110,0,431,990,0,3,0,0,0,33,0,0,7,1,0,0,0,0,0,3,11,0,0,0,0,0,0,0,1,0,0,0,0
Redwing,582,55,168,1,4,536,0,170,0,0,0,60,0,0,1,1,0,1,0,0,101,7,132,0,0,0,0,0,0,0,0,0,0,0,0
Robin,15,26,76,3,1,19,7,2,0,0,11,21,26,3,13,100,28,3,18,6,53,19,3,130,3,0,14,0,0,1,3,0,0,1,8
Blackcap,45,4,126,1,2,0,12,3,0,3,9,0,5,6,0,108,25,1,0,38,9,8,9,36,17,0,41,0,0,31,1,0,0,0,0
Starling,0,837,279,0,0,198,63,11,0,67,0,18,335,0,4,722,0,0,1,14,1976,0,90,0,0,0,6,0,0,0,0,0,0,0,0
Waxwing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodpigeon,32,0,0,0,15,96,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring Ouzel,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden Warbler,0,0,0,0,0,0,1,0,0,1,5,0,2,0,0,15,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
Lesser Whitethroat,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,12,7,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Magpie,0,0,0,0,0,0,3,27,0,4,2,1,0,1,0,19,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrion Crow,0,0,0,0,0,0,0,24,0,8,0,17,0,0,12,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Whitethroat,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Moorhen,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted Flycatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Green Woodpecker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
